row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị ghi sổ,31/12/2018 > Số có khả năng trả nợ,01/01/2018 > Giá trị ghi sổ,01/01/2018 > Số có khả năng trả nợ,numeric__31/12/2018 > Giá trị ghi sổ,numeric__31/12/2018 > Số có khả năng trả nợ,numeric__01/01/2018 > Giá trị ghi sổ,numeric__01/01/2018 > Số có khả năng trả nợ
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,373.502.783.512,373.502.783.512,217.290.366.190,217.290.366.190,373502783512.0,373502783512.0,217290366190.0,217290366190.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,373.502.783.512,373.502.783.512,217.290.366.190,217.290.366.190,373502783512.0,373502783512.0,217290366190.0,217290366190.0
Công ty CP Xây dựng số 1 Sông Hồng,Công ty CP Xây dựng số 1 Sông Hồng,Công ty CP Xây dựng số 1 Sông Hồng,25.039.134.058,25.039.134.058,20.051.811.000,20.051.811.000,25039134058.0,25039134058.0,20051811000.0,20051811000.0
Công ty Cổ phần Xây dựng Hải Phát,Công ty Cổ phần Xây dựng Hải Phát,Công ty Cổ phần Xây dựng Hải Phát,13.294.498.873,13.294.498.873,13.294.498.873,13.294.498.873,13294498873.0,13294498873.0,13294498873.0,13294498873.0
Công ty Cổ phần Xây Lắp Hải Phát.,Công ty Cổ phần Xây Lắp Hải Phát.,Công ty Cổ phần Xây Lắp Hải Phát.,21.261.363.414,21.261.363.414,-,-,21261363414.0,21261363414.0,,
Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,9.728.989.435,9.728.989.435,13.340.210.577,13.340.210.577,9728989435.0,9728989435.0,13340210577.0,13340210577.0
Công ty Cổ phần TSQ Techco,Công ty Cổ phần TSQ Techco,Công ty Cổ phần TSQ Techco,59.705.952.267,59.705.952.267,12.171.101.056,12.171.101.056,59705952267.0,59705952267.0,12171101056.0,12171101056.0
Các khách hàng khác Trong đó phải trả các bên liên quan,Các khách hàng khác Trong đó phải trả các bên liên quan,Các khách hàng khác Trong đó phải trả các bên liên quan,244.472.845.465,244.472.845.465,158.432.744.684,158.432.744.684,244472845465.0,244472845465.0,158432744684.0,158432744684.0
Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty CP Dịch vụ Đô thị Hải Phát PSP,3.762.779.087,3.762.779.087,13.034.242.556,13.034.242.556,3762779087.0,3762779087.0,13034242556.0,13034242556.0
Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,9.728.989.435,9.728.989.435,13.340.210.577,13.340.210.577,9728989435.0,9728989435.0,13340210577.0,13340210577.0
Công ty Cổ phần Xây Lắp Hải Phát.,Công ty Cổ phần Xây Lắp Hải Phát.,Công ty Cổ phần Xây Lắp Hải Phát.,21.261.363.414,21.261.363.414,-,-,21261363414.0,21261363414.0,,
Công ty TNHH MTV Địa Ốc Châu Sơn,Công ty TNHH MTV Địa Ốc Châu Sơn,Công ty TNHH MTV Địa Ốc Châu Sơn,1.256.293.044,1.256.293.044,-,-,1256293044.0,1256293044.0,,
b. Dài hạn,b. Dài hạn,b. Dài hạn,-,-,-,-,,,,
Tổng,b. Dài hạn > Tổng,Tổng,373.502.783.512,373.502.783.512,217.290.366.190,217.290.366.190,373502783512.0,373502783512.0,217290366190.0,217290366190.0
