row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
Số dư tại 01/01/2017,Số dư tại 01/01/2017,Số dư tại 01/01/2017,750.000.000.000,-,428.405.456.384,1.178.405.456.384,750000000000.0,,428405456384.0,1178405456384.0
Tăng vốn từ chia cổ tức,Tăng vốn từ chia cổ tức,Tăng vốn từ chia cổ tức,450.000.000.000,-,(450.000.000.000),-,450000000000.0,,-450000000000.0,
Tăng vốn phát hành thêm,Tăng vốn phát hành thêm,Tăng vốn phát hành thêm,300.000.000.000,335.950.000.000,-,635.950.000.000,300000000000.0,335950000000.0,,635950000000.0
Thù lao HĐQT năm 2015,Thù lao HĐQT năm 2015,Thù lao HĐQT năm 2015,,-,,-,,,,
Giảm khác,Giảm khác,Giảm khác,-,-,,-,,,,
Lãi trong năm,Giảm khác > Lãi trong năm,Lãi trong năm,,,319.826.205.584,319.826.205.584,,,319826205584.0,319826205584.0
Phân phối lợi nhuận hợp tác kinh doanh,Giảm khác > Phân phối lợi nhuận hợp tác kinh doanh,Phân phối lợi nhuận hợp tác kinh doanh,-,-,(61.600.000.000),(61.600.000.000),,,-61600000000.0,-61600000000.0
Trích lập các quỹ 2016,Giảm khác > Trích lập các quỹ 2016,Trích lập các quỹ 2016,-,-,(5.000.000.000),(5.000.000.000),,,-5000000000.0,-5000000000.0
Số dư tại 31/12/2017,Giảm khác > Số dư tại 31/12/2017,Số dư tại 31/12/2017,1.500.000.000.000,335.950.000.000,231.631.661.968,2.067.581.661.968,1500000000000.0,335950000000.0,231631661968.0,2067581661968.0
Số dư tại 01/01/2018,Giảm khác > Số dư tại 01/01/2018,Số dư tại 01/01/2018,1.500.000.000.000,335.950.000.000,231.631.661.968,2.067.581.661.968,1500000000000.0,335950000000.0,231631661968.0,2067581661968.0
Tăng vốn từ chia cổ tức,Giảm khác > Tăng vốn từ chia cổ tức,Tăng vốn từ chia cổ tức,224.999.850.000,,(224.999.850.000),-,224999850000.0,,-224999850000.0,
Tăng vốn từ thăng dư,Giảm khác > Tăng vốn từ thăng dư,Tăng vốn từ thăng dư,274.963.200.000,(274.963.200.000),,-,274963200000.0,-274963200000.0,,
Lãi trong năm,Giảm khác > Lãi trong năm,Lãi trong năm,-,-,482.112.259.976,482.112.259.976,,,482112259976.0,482112259976.0
Thù lao HĐQT 2018,Giảm khác > Thù lao HĐQT 2018,Thù lao HĐQT 2018,-,-,(4.467.764.723),(4.467.764.723),,,-4467764723.0,-4467764723.0
Trích lập các quỹ 2017,Giảm khác > Trích lập các quỹ 2017,Trích lập các quỹ 2017,-,-,(6.631.661.968),(6.631.661.968),,,-6631661968.0,-6631661968.0
Số dư tại 31/12/2018,Giảm khác > Số dư tại 31/12/2018,Số dư tại 31/12/2018,1.999.963.050.000,60.986.800.000,477.644.645.253,2.538.594.495.253,1999963050000.0,60986800000.0,477644645253.0,2538594495253.0
