row_label_raw,row_label_full,col_0,Tỷ lệ > Vốnnăm giữ,Tỷ lệ > Quyềnbiểu quyết,31/12/2018 > Giá gốc,31/12/2018 > Dự phòng,31/12/2018 > Giá trị hợp lý,01/01/2018 > Giá gốc,01/01/2018 > Dự phòng,01/01/2018 > Giá trị hợp lý,numeric__Tỷ lệ > Vốnnăm giữ,numeric__Tỷ lệ > Quyềnbiểu quyết,numeric__31/12/2018 > Giá gốc,numeric__31/12/2018 > Dự phòng,numeric__31/12/2018 > Giá trị hợp lý,numeric__01/01/2018 > Giá gốc,numeric__01/01/2018 > Dự phòng,numeric__01/01/2018 > Giá trị hợp lý
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,,1.240.748.893.381,-,-,931.450.000.000,-,-,,,1240748893381.0,,,931450000000.0,,
Công ty CP Thương mại Địa ốc Bình Minh,Công ty CP Thương mại Địa ốc Bình Minh,Công ty CP Thương mại Địa ốc Bình Minh,"77,2%","77,2%",48.250.000.000,-,-,48.250.000.000,-,-,0.772,0.772,48250000000.0,,,48250000000.0,,
Công ty TNHH HP Hospitality Nha Trang,Công ty TNHH HP Hospitality Nha Trang,Công ty TNHH HP Hospitality Nha Trang,75%,75%,483.200.000.000,-,-,483.200.000.000,-,,0.75,0.75,483200000000.0,,,483200000000.0,,
Công ty TNHH một thành viênĐịa ốc Châu Sơn (1),Công ty TNHH một thành viênĐịa ốc Châu Sơn (1),Công ty TNHH một thành viênĐịa ốc Châu Sơn (1),100%,100%,709.298.893.381,0,-,400.000.000.000,-,,1.0,1.0,709298893381.0,0.0,,400000000000.0,,
Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,,,431.683.176.348,-,-,386.176.385.165,-,,,,431683176348.0,,,386176385165.0,,
Công ty Cổ phần Đầu tư Đại Đông Á (2),Công ty Cổ phần Đầu tư Đại Đông Á (2),Công ty Cổ phần Đầu tư Đại Đông Á (2),"35,00%","35,00%",55.750.000.000,-,-,51.600.000.000,-,-,0.35,0.35,55750000000.0,,,51600000000.0,,
Tổng công ty XDCT GT 5,Tổng công ty XDCT GT 5,Tổng công ty XDCT GT 5,"38,68%","38,68%",300.245.220.000,-,-,300.245.220.000,-,-,0.3868,0.3868,300245220000.0,,,300245220000.0,,
Công ty TNHH Phát triển Địa ốcHải Phong (3),Công ty TNHH Phát triển Địa ốcHải Phong (3),Công ty TNHH Phát triển Địa ốcHải Phong (3),"42,99%","42,99%",-,-,-,34.331.165.165,-,,0.4299,0.4299,,,,34331165165.0,,
Công ty CP Địa ốc S.E.A Thuận Phước,Công ty CP Địa ốc S.E.A Thuận Phước,Công ty CP Địa ốc S.E.A Thuận Phước,"21,00%","21,00%",48.300.000.000,-,-,-,-,,0.21,0.21,48300000000.0,,,,,
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,50%,50%,27.387.956.348,-,-,-,-,,0.5,0.5,27387956348.0,,,,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,126.548.461.308,-,-,152.080.000.000,-,-,,,126548461308.0,,,152080000000.0,,
Công ty CP BĐS Đường Sát,Công ty CP BĐS Đường Sát,Công ty CP BĐS Đường Sát,10%,10%,5.000.000.000,-,-,5.000.000.000,-,,0.1,0.1,5000000000.0,,,5000000000.0,,
Công ty Cổ phần đầu tư Hải Phát Thủ Đô,Công ty Cổ phần đầu tư Hải Phát Thủ Đô,Công ty Cổ phần đầu tư Hải Phát Thủ Đô,"13,76%","13,76%",110.080.000.000,-,-,110.080.000.000,-,,0.1376,0.1376,110080000000.0,,,110080000000.0,,
Công ty TNHH Phát triển Địa ốcHải Phòng (3),Công ty TNHH Phát triển Địa ốcHải Phòng (3),Công ty TNHH Phát triển Địa ốcHải Phòng (3),10%,10%,11.468.461.308,-,-,-,-,-,0.1,0.1,11468461308.0,,,,,
Công ty CP Địa ốc S.E.A Thuận Phước,Công ty CP Địa ốc S.E.A Thuận Phước,Công ty CP Địa ốc S.E.A Thuận Phước,,,-,-,-,37.000.000.000,-,-,,,,,,37000000000.0,,
Tổng,Tổng,Tổng,,,1.798.980.531.037,-,(*),1.469.706.385.165,-,(*),,,1798980531037.0,,,1469706385165.0,,
