row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,Năm 2018 VND,Năm 2017 VND,numeric__Tính chất giao dịch,numeric__Năm 2018 VND,numeric__Năm 2017 VND
Giao dịch mua,Giao dịch mua,Giao dịch mua,Giao dịch mua,Giao dịch mua,Giao dịch mua,,,
Công ty CP Dịch vụ Đô thị Hải Phát PSP,Giao dịch mua > Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty CP Dịch vụ Đô thị Hải Phát PSP,Mua hàng hóa dịch vụ,24.196.381.120,20.178.460.260,,24196381120.0,20178460260.0
Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Giao dịch mua > Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Mua hàng hóa dịch vụ,-,37.187.254.546,,,37187254546.0
Công ty CP Đầu tư xây dựng và thương mại Thành Nhân,Giao dịch mua > Công ty CP Đầu tư xây dựng và thương mại Thành Nhân,Công ty CP Đầu tư xây dựng và thương mại Thành Nhân,Xây lắp,-,12.257.317.273,,,12257317273.0
Công ty CP Xây lắp Hải Phát,Giao dịch mua > Công ty CP Xây lắp Hải Phát,Công ty CP Xây lắp Hải Phát,Xây lắp,236.172.807.505,128.730.604.509,,236172807505.0,128730604509.0
Công ty CP Đầu tư Hải Phát Thủ Đô,Giao dịch mua > Công ty CP Đầu tư Hải Phát Thủ Đô,Công ty CP Đầu tư Hải Phát Thủ Đô,Chuyển nhượng CP,-,234.304.854.302,,,234304854302.0
Công ty TNHH An Quý Hưng,Giao dịch mua > Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,Xây lắp,7.386.049.185,-,,7386049185.0,
Đỗ Quý Hải,Giao dịch mua > Đỗ Quý Hải,Đỗ Quý Hải,Chuyển nhượng CP,-,37.765.290.000,,,37765290000.0
Công ty CP Đầu tư phát triển hạ tầng và đô thị Đường Sắt,Giao dịch mua > Công ty CP Đầu tư phát triển hạ tầng và đô thị Đường Sắt,Công ty CP Đầu tư phát triển hạ tầng và đô thị Đường Sắt,Mua hàng hóa,4.169.849.892,-,,4169849892.0,
Công ty TNHH Kiểm toán và tư vấn UHY,Giao dịch mua > Công ty TNHH Kiểm toán và tư vấn UHY,Công ty TNHH Kiểm toán và tư vấn UHY,Dịch vụ,736.493.636,-,,736493636.0,
Công ty Cổ phần Vật liệu xây dựng H.P.T,Giao dịch mua > Công ty Cổ phần Vật liệu xây dựng H.P.T,Công ty Cổ phần Vật liệu xây dựng H.P.T,Mua hàng hóa,2.052.706.308,-,,2052706308.0,
Công ty TNHH MTV Địa Óc Châu Sơn,Giao dịch mua > Công ty TNHH MTV Địa Óc Châu Sơn,Công ty TNHH MTV Địa Óc Châu Sơn,Dịch vụ,1.142.084.586,-,,1142084586.0,
Giao dịch từ đi vay,Giao dịch từ đi vay,Giao dịch từ đi vay,Giao dịch từ đi vay,Giao dịch từ đi vay,Giao dịch từ đi vay,,,
Công ty TNHH Đầu tư và dịch vụ Hải Lương,Giao dịch từ đi vay > Công ty TNHH Đầu tư và dịch vụ Hải Lương,Công ty TNHH Đầu tư và dịch vụ Hải Lương,Lãi vay,190.333.583,3.414.218.484,,190333583.0,3414218484.0
Chu Thị Lương,Giao dịch từ đi vay > Chu Thị Lương,Chu Thị Lương,Lãi vay,433.333.333,6.809.648.416,,433333333.0,6809648416.0
Chu Thị Lương,Giao dịch từ đi vay > Chu Thị Lương,Chu Thị Lương,Đi vay,-,14.701.000.000,,,14701000000.0
Trần Hoài Anh,Giao dịch từ đi vay > Trần Hoài Anh,Trần Hoài Anh,Lãi vay,-,914.184.394,,,914184394.0
Trần Hoài Anh,Giao dịch từ đi vay > Trần Hoài Anh,Trần Hoài Anh,Đi vay,-,1.300.000.000,,,1300000000.0
Trần Thanh Hương,Giao dịch từ đi vay > Trần Thanh Hương,Trần Thanh Hương,Lãi vay,16.791.667,207.869.887,,16791667.0,207869887.0
Trần Thanh Hương,Giao dịch từ đi vay > Trần Thanh Hương,Trần Thanh Hương,Đi vay,-,3.400.000.000,,,3400000000.0
Đỗ Quý Thành,Giao dịch từ đi vay > Đỗ Quý Thành,Đỗ Quý Thành,Lãi vay,-,701.094.640,,,701094640.0
Đỗ Quý Thành,Giao dịch từ đi vay > Đỗ Quý Thành,Đỗ Quý Thành,Đi vay,-,2.900.000.000,,,2900000000.0
Trần Thị Thu Hằng,Giao dịch từ đi vay > Trần Thị Thu Hằng,Trần Thị Thu Hằng,Lãi vay,22.958.333,22.958.333,,22958333.0,22958333.0
