row_label_raw,row_label_full,col_0,Chưa quá hạn và không giảm giá trị VND,Quá hạn nhưng không giảm giá trị riêng lẻ VND,Bị giảm giá trị riêng lẻ (*) VND,Tổng VND,numeric__Chưa quá hạn và không giảm giá trị VND,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ VND,numeric__Bị giảm giá trị riêng lẻ (*) VND,numeric__Tổng VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.789.197.489.323,-,-,3.789.197.489.323,3789197489323.0,,,3789197489323.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.073.594.733.521,122.972.571.479,27.533.798.355,1.224.101.103.355,1073594733521.0,122972571479.0,27533798355.0,1224101103355.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,885.327.361.154,-,-,885.327.361.154,885327361154.0,,,885327361154.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,2.344.654.814.506,-,-,2.344.654.814.506,2344654814506.0,,,2344654814506.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,113.844.626.644,-,-,113.844.626.644,113844626644.0,,,113844626644.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",83.911.466.370,-,-,83.911.466.370,83911466370.0,,,83911466370.0
- Phải thu cố tức,TÀI SẢN > - Phải thu cố tức,- Phải thu cố tức,29.933.160.274,-,-,29.933.160.274,29933160274.0,,,29933160274.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,70.872.464.852.655,-,189.900.926.600,71.062.365.779.255,70872464852655.0,,189900926600.0,71062365779255.0
- Hợp đồng tiền gửi có ký hạn,TÀI SẢN > - Hợp đồng tiền gửi có ký hạn,- Hợp đồng tiền gửi có ký hạn,31.042.992.116.181,-,-,31.042.992.116.181,31042992116181.0,,,31042992116181.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,39.829.472.736.474,-,189.900.926.600,40.019.373.663.074,39829472736474.0,,189900926600.0,40019373663074.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,120.026.959.200,-,-,120.026.959.200,120026959200.0,,,120026959200.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,120.026.959.200,-,-,120.026.959.200,120026959200.0,,,120026959200.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,1.578.340.520.389,1.229.997.460,675.773.099,1.580.246.290.948,1578340520389.0,1229997460.0,675773099.0,1580246290948.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,399.430.572.429,3.170.895.849,4.334.200.875,406.935.669.153,399430572429.0,3170895849.0,4334200875.0,406935669153.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,81.176.881.929.821,127.373.464.788,222.444.698.929,81.526.700.093.538,81176881929821.0,127373464788.0,222444698929.0,81526700093538.0
