row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Bảo hiểm hỗn hợp,Bảo hiểm nhân thọ > Bảo hiểm hỗn hợp,Bảo hiểm hỗn hợp,6.109.464.301.801,4.731.994.906.682,6109464301801.0,4731994906682.0
Bảo hiểm liên kết chung,Bảo hiểm nhân thọ > Bảo hiểm liên kết chung,Bảo hiểm liên kết chung,10.086.583.881.818,7.968.492.450.834,10086583881818.0,7968492450834.0
Bảo hiểm tử ký và liên kết ngân hàng,Bảo hiểm nhân thọ > Bảo hiểm tử ký và liên kết ngân hàng,Bảo hiểm tử ký và liên kết ngân hàng,6.485.855.831,13.297.422.754,6485855831.0,13297422754.0
Bảo hiểm trọn đời,Bảo hiểm nhân thọ > Bảo hiểm trọn đời,Bảo hiểm trọn đời,3.445.990.700,3.911.443.400,3445990700.0,3911443400.0
Niên kim nhân thọ,Bảo hiểm nhân thọ > Niên kim nhân thọ,Niên kim nhân thọ,522.766.496.600,226.107.760.600,522766496600.0,226107760600.0
Điều khoản riêng,Bảo hiểm nhân thọ > Điều khoản riêng,Điều khoản riêng,592.624.540.513,450.203.802.685,592624540513.0,450203802685.0
Bảo hiểm hữu trí tự nguyện,Bảo hiểm nhân thọ > Bảo hiểm hữu trí tự nguyện,Bảo hiểm hữu trí tự nguyện,149.328.889.202,62.421.067.101,149328889202.0,62421067101.0
Tổng doanh thu bảo hiểm nhân thọ,Bảo hiểm nhân thọ > Tổng doanh thu bảo hiểm nhân thọ,Tổng doanh thu bảo hiểm nhân thọ,17.470.699.956.465,13.456.428.854.056,17470699956465.0,13456428854056.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm phi nhân thọ > Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,353.223.245.403,368.946.927.145,353223245403.0,368946927145.0
Bảo hiểm Tàu thủy,Bảo hiểm phi nhân thọ > Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,550.121.332.418,498.752.750.032,550121332418.0,498752750032.0
Bảo hiểm Dầu khí,Bảo hiểm phi nhân thọ > Bảo hiểm Dầu khí,Bảo hiểm Dầu khí,204.289.725,186.159.742,204289725.0,186159742.0
Bảo hiểm Hàng không,Bảo hiểm phi nhân thọ > Bảo hiểm Hàng không,Bảo hiểm Hàng không,199.440.916.499,121.524.256.995,199440916499.0,121524256995.0
Bảo hiểm Kỹ thuật,Bảo hiểm phi nhân thọ > Bảo hiểm Kỹ thuật,Bảo hiểm Kỹ thuật,238.483.232.817,274.619.597.613,238483232817.0,274619597613.0
Bảo hiểm Hòa hoạn và các rủi ro đặc biệt,Bảo hiểm phi nhân thọ > Bảo hiểm Hòa hoạn và các rủi ro đặc biệt,Bảo hiểm Hòa hoạn và các rủi ro đặc biệt,763.518.390.725,610.220.447.458,763518390725.0,610220447458.0
Bảo hiểm Trách nhiệm chung,Bảo hiểm phi nhân thọ > Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,115.838.393.558,118.920.962.907,115838393558.0,118920962907.0
Bảo hiểm Xe cơ giới,Bảo hiểm phi nhân thọ > Bảo hiểm Xe cơ giới,Bảo hiểm Xe cơ giới,2.883.015.358.642,2.221.533.598.351,2883015358642.0,2221533598351.0
Bảo hiểm Y tế tự nguyện và Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm Y tế tự nguyện và Bảo hiểm con người,Bảo hiểm Y tế tự nguyện và Bảo hiểm con người,2.929.462.116.567,2.335.791.585.627,2929462116567.0,2335791585627.0
Bảo hiểm Nông nghiệp,Bảo hiểm phi nhân thọ > Bảo hiểm Nông nghiệp,Bảo hiểm Nông nghiệp,17.504.047.703,11.661.426.228,17504047703.0,11661426228.0
Tổng doanh thu bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm phi nhân thọ,Tổng doanh thu bảo hiểm phi nhân thọ,8.050.811.324.057,6.562.157.712.098,8050811324057.0,6562157712098.0
Tổng doanh thu bảo hiểm,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm,Tổng doanh thu bảo hiểm,25.521.511.280.522,20.018.586.566.154,25521511280522.0,20018586566154.0
