row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, thiết bịtruyền dẫnVND",Trang thiết bịvăn phòngVND,Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫnVND",numeric__Trang thiết bịvăn phòngVND,numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,,,,,
Số đầu năm,Nguyên giả: > Số đầu năm,Số đầu năm,1.080.343.366.283,135.352.616.901,426.863.550.271,216.783.186.924,4.334.176.884,1.863.676.897.263,1080343366283.0,135352616901.0,426863550271.0,216783186924.0,4334176884.0,1863676897263.0
"- Mua sắm, xây dựngmới","Nguyên giả: > - Mua sắm, xây dựngmới","- Mua sắm, xây dựngmới",3.364.667.916,30.292.650.588,34.445.599.029,26.783.049.892,2.469.870.000,97.355.837.425,3364667916.0,30292650588.0,34445599029.0,26783049892.0,2469870000.0,97355837425.0
- Chuyển từ xây dựng cơbản dở dang,Nguyên giả: > - Chuyển từ xây dựng cơbản dở dang,- Chuyển từ xây dựng cơbản dở dang,29.543.040.309,1.216.901.727,1.086.400.000,1.854.409.013,-,33.700.751.049,29543040309.0,1216901727.0,1086400000.0,1854409013.0,,33700751049.0
- Phân loại lại,Nguyên giả: > - Phân loại lại,- Phân loại lại,3.181.726.455,-,(160.862.100),(2.795.664.355),62.800.000,288.000.000,3181726455.0,,-160862100.0,-2795664355.0,62800000.0,288000000.0
"- Thanh lý, nhượng bán","Nguyên giả: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(144.226.480),(4.727.516.035),(5.577.757.185),(4.402.863.809),-,(14.852.363.509),-144226480.0,-4727516035.0,-5577757185.0,-4402863809.0,,-14852363509.0
- Giảm khác,Nguyên giả: > - Giảm khác,- Giảm khác,(3.553.543.217),-,-,-,(3.118.455.231),(6.671.998.448),-3553543217.0,,,,-3118455231.0,-6671998448.0
Số cuối năm,Nguyên giả: > Số cuối năm,Số cuối năm,1.112.735.031.266,162.134.653.181,456.656.930.015,238.222.117.665,3.748.391.653,1.973.497.123.780,1112735031266.0,162134653181.0,456656930015.0,238222117665.0,3748391653.0,1973497123780.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,413.135.231.262,95.924.305.234,331.717.633.211,185.899.861.154,1.724.523.852,1.028.401.554.713,413135231262.0,95924305234.0,331717633211.0,185899861154.0,1724523852.0,1028401554713.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,40.882.057.581,15.038.577.402,30.068.090.955,20.214.726.529,410.369.048,106.613.821.515,40882057581.0,15038577402.0,30068090955.0,20214726529.0,410369048.0,106613821515.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(144.226.480),(4.727.516.035),(5.577.757.185),(4.402.863.809),-,(14.852.363.509),-144226480.0,-4727516035.0,-5577757185.0,-4402863809.0,,-14852363509.0
- Phân loại lại,Giá trị khấu hao lũy kế: > - Phân loại lại,- Phân loại lại,-,563.383.500,5.108.851.780,(534.867.310),62.800.000,5.200.167.970,,563383500.0,5108851780.0,-534867310.0,62800000.0,5200167970.0
- Tăng/(giảm) khác,Giá trị khấu hao lũy kế: > - Tăng/(giảm) khác,- Tăng/(giảm) khác,4.143.339.717,-,-,-,(848.304.927),3.295.034.790,4143339717.0,,,,-848304927.0,3295034790.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,458.016.402.080,106.798.750.101,361.316.818.761,201.176.856.564,1.349.387.973,1.128.658.215.479,458016402080.0,106798750101.0,361316818761.0,201176856564.0,1349387973.0,1128658215479.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,667.208.135.021,39.428.311.667,95.145.917.060,30.883.325.770,2.609.653.032,835.275.342.550,667208135021.0,39428311667.0,95145917060.0,30883325770.0,2609653032.0,835275342550.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,654.718.629.186,55.335.903.080,95.340.111.254,37.045.261.101,2.399.003.680,844.838.908.301,654718629186.0,55335903080.0,95340111254.0,37045261101.0,2399003680.0,844838908301.0
