row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),27.879.590.939.483,27.436.990.939.483,17.651.759.823.856,17.209.159.823.856,27879590939483.0,27436990939483.0,17651759823856.0,17209159823856.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,747.632.820.906,262.781.431.005,674.752.316.502,284.851.389.901,747632820906.0,262781431005.0,674752316502.0,284851389901.0
- Trái phiếu doanh nghiệp (iii),Ngắn hạn > - Trái phiếu doanh nghiệp (iii),- Trái phiếu doanh nghiệp (iii),674.752.316.502,189.900.926.601,674.752.316.502,284.851.389.901,674752316502.0,189900926601.0,674752316502.0,284851389901.0
- Trái phiếu Chính phủ (iv),Ngắn hạn > - Trái phiếu Chính phủ (iv),- Trái phiếu Chính phủ (iv),72.880.504.404,72.880.504.404,-,-,72880504404.0,72880504404.0,,
Tạm ứng từ giá trị hoàn lại (v),Ngắn hạn > Tạm ứng từ giá trị hoàn lại (v),Tạm ứng từ giá trị hoàn lại (v),1.114.195.388.505,1.114.195.388.505,935.996.086.187,935.996.086.187,1114195388505.0,1114195388505.0,935996086187.0,935996086187.0
,,,29.741.419.148.894,28.813.967.758.993,19.262.508.226.545,18.430.007.299.944,29741419148894.0,28813967758993.0,19262508226545.0,18430007299944.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),2.763.924.337.250,2.763.924.337.250,1.940.146.688.223,1.940.146.688.223,2763924337250.0,2763924337250.0,1940146688223.0,1940146688223.0
Trái phiếu (iv),Dài hạn > Trái phiếu (iv),Trái phiếu (iv),37.800.623.620.130,37.800.623.620.130,35.470.592.512.429,35.470.592.512.429,37800623620130.0,37800623620130.0,35470592512429.0,35470592512429.0
- Trái phiếu doanh nghiệp,Dài hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,3.966.021.115.281,3.966.021.115.281,3.466.511.571.924,3.466.511.571.924,3966021115281.0,3966021115281.0,3466511571924.0,3466511571924.0
- Trái phiếu Chính phủ,Dài hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,33.834.602.504.849,33.834.602.504.849,32.004.080.940.505,32.004.080.940.505,33834602504849.0,33834602504849.0,32004080940505.0,32004080940505.0
,,,40.564.547.957.380,40.564.547.957.380,37.410.739.200.652,37.410.739.200.652,40564547957380.0,40564547957380.0,37410739200652.0,37410739200652.0
,,,70.305.967.106.274,69.378.515.716.373,56.673.247.427.197,55.840.746.500.596,70305967106274.0,69378515716373.0,56673247427197.0,55840746500596.0
