row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,51.327.916.564,15.741.288.883,51327916564.0,15741288883.0
Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,76.406.185.306,68.712.792.073,76406185306.0,68712792073.0
Bảo hiểm Dầu khí,Bảo hiểm Dầu khí,Bảo hiểm Dầu khí,322.587.569,-,322587569.0,
Bảo hiểm Hàng không,Bảo hiểm Hàng không,Bảo hiểm Hàng không,10.715.275.709,81.155.520.939,10715275709.0,81155520939.0
Bảo hiểm Kỹ thuật,Bảo hiểm Kỹ thuật,Bảo hiểm Kỹ thuật,32.210.761.515,61.804.285.028,32210761515.0,61804285028.0
Bảo hiểm Hòa hoan và các rủi ro đặc biệt,Bảo hiểm Hòa hoan và các rủi ro đặc biệt,Bảo hiểm Hòa hoan và các rủi ro đặc biệt,190.938.169.732,99.616.079.966,190938169732.0,99616079966.0
Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,6.936.172.654,7.288.543.378,6936172654.0,7288543378.0
Bảo hiểm Xe cơ giới,Bảo hiểm Xe cơ giới,Bảo hiểm Xe cơ giới,414.256.163.121,120.376.845.825,414256163121.0,120376845825.0
Bảo hiểm Y tế tự nguyện và con người,Bảo hiểm Y tế tự nguyện và con người,Bảo hiểm Y tế tự nguyện và con người,63.227.146.793,60.562.979.125,63227146793.0,60562979125.0
Bảo hiểm Nông nghiệp,Bảo hiểm Nông nghiệp,Bảo hiểm Nông nghiệp,1.355.593.433,6.197.883.306,1355593433.0,6197883306.0
,,,847.695.972.396,521.456.218.523,847695972396.0,521456218523.0
