row_label_raw,row_label_full,Mã số,NGUỒN VÔN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VÔN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRÀ,,76.934.938.329.085,59.309.916.882.792,,,76934938329085.0,59309916882792.0
310,310,310,I. Nợ ngắn hạn,,22.286.031.335.459,16.230.271.115.790,,,22286031335459.0,16230271115790.0
311,311,311,1. Phải trả người bán ngắn hạn,16.1,2.694.745.921.329,1.576.935.784.713,,161.0,2694745921329.0,1576935784713.0
311.1,311.1,311.1,1.1 Phải trả hoạt động bảo hiểm,,2.542.056.192.076,1.383.568.559.914,,,2542056192076.0,1383568559914.0
311.2,311.2,311.2,1.2 Phải trả hoạt động tài chính,,-,66.003.088.161,,,,66003088161.0
311.3,311.3,311.3,1.3 Phải trả người bán và nhà cung cấp dịch vụ,,152.689.729.253,127.364.136.638,,,152689729253.0,127364136638.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,16.2,132.060.292.425,10.443.709.813,,162.0,132060292425.0,10443709813.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,17,109.050.213.117,16.004.120.760,,17.0,109050213117.0,16004120760.0
314,314,314,4. Phải trả người lao động,,727.386.592.336,736.503.250.494,,,727386592336.0,736503250494.0
315,315,315,5. Chi phí phải trả ngắn hạn,,58.405.565.654,56.627.960.995,,,58405565654.0,56627960995.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,18,72.613.800.667,83.403.075.494,,18.0,72613800667.0,83403075494.0
318.1,318.1,318.1,7. Doanh thu hoa hồng chưa được hưởng,19,108.694.988.008,115.396.746.402,,19.0,108694988008.0,115396746402.0
319,319,319,8. Phải trả ngắn hạn khác,20,574.150.514.863,482.252.118.261,,20.0,574150514863.0,482252118261.0
320,320,320,9. Vay ngắn hạn,21,91.842.475.489,161.009.048.468,,21.0,91842475489.0,161009048468.0
322,322,322,"10. Quỹ khen thưởng, phúc lợi",22,115.010.713.662,78.324.934.729,,22.0,115010713662.0,78324934729.0
324,324,324,11. Giao dịch mua bản lại trái phiếu,23,17.602.070.257.909,12.913.370.365.661,,23.0,17602070257909.0,12913370365661.0
330,330,330,II. Nợ dài hạn,,54.648.906.993.626,43.079.645.767.002,,,54648906993626.0,43079645767002.0
337,337,337,1. Phải trả dài hạn khác,,133.289.291.125,99.815.372.901,,,133289291125.0,99815372901.0
338,338,338,2. Vay dài hạn,21,3.922.299.998,3.337.550.002,,21.0,3922299998.0,3337550002.0
341,341,341,3. Thuế thu nhập hoãn lại phải trả,17.2.2,1.284.976.011,-,,1722.0,1284976011.0,
344,344,344,4. Dự phòng,24,54.510.410.426.492,42.976.492.844.099,,24.0,54510410426492.0,42976492844099.0
344.1,344.1,344.1,4.1 Dự phòng toán học,,46.210.980.584.316,36.280.117.678.651,,,46210980584316.0,36280117678651.0
344.2,344.2,344.2,4.2 Dự phòng phí chưa được hưởng,,4.360.283.332.177,3.580.814.492.786,,,4360283332177.0,3580814492786.0
344.3,344.3,344.3,4.3 Dự phòng bồi thường,,2.411.767.134.999,1.489.052.835.548,,,2411767134999.0,1489052835548.0
344.4,344.4,344.4,4.4. Dự phòng chia lãi,,1.429.375.103.187,1.385.613.275.857,,,1429375103187.0,1385613275857.0
344.5,344.5,344.5,4.5 Dự phòng đảm bảo cán đối,,74.832.260.436,64.722.549.880,,,74832260436.0,64722549880.0
344.6,344.6,344.6,4.6 Dự phòng dao động lớn,,23.172.011.377,176.172.011.377,,,23172011377.0,176172011377.0
