row_label_raw,row_label_full,col_0,Nghĩa vụ các hợpđồng bảo hiểm vàđầu tư có cấu phầnkhông đảm bảoVND,Nghĩa vụ các hợpđồng bảo hiểmkhông có cấu phầnkhông đảm bảoVND,Tổng nghĩa vụ cáchợp đồng bảo hiểmVND,numeric__Nghĩa vụ các hợpđồng bảo hiểm vàđầu tư có cấu phầnkhông đảm bảoVND,numeric__Nghĩa vụ các hợpđồng bảo hiểmkhông có cấu phầnkhông đảm bảoVND,numeric__Tổng nghĩa vụ cáchợp đồng bảo hiểmVND
Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2017 > Điều khoản riêng,Điều khoản riêng,2.673.429.651,254.421.111.301,257.094.540.952,2673429651.0,254421111301.0,257094540952.0
Trọn đời,Ngày 31 tháng 12 năm 2017 > Trọn đời,Trọn đời,85.902.783.659,-,85.902.783.659,85902783659.0,,85902783659.0
Từ kỳ,Ngày 31 tháng 12 năm 2017 > Từ kỳ,Từ kỳ,-,246.970.786,246.970.786,,246970786.0,246970786.0
Hỗn hợp,Ngày 31 tháng 12 năm 2017 > Hỗn hợp,Hỗn hợp,10.784.916.077.708,15.044.344.520.917,25.829.260.598.625,10784916077708.0,15044344520917.0,25829260598625.0
Liên kết chung,Ngày 31 tháng 12 năm 2017 > Liên kết chung,Liên kết chung,-,20.385.233.430.310,20.385.233.430.310,,20385233430310.0,20385233430310.0
Niên kim,Ngày 31 tháng 12 năm 2017 > Niên kim,Niên kim,1.037.531.220.326,-,1.037.531.220.326,1037531220326.0,,1037531220326.0
Hưu trí,Ngày 31 tháng 12 năm 2017 > Hưu trí,Hưu trí,-,199.366.391.427,199.366.391.427,,199366391427.0,199366391427.0
Khác,Ngày 31 tháng 12 năm 2017 > Khác,Khác,-,8.995.829.401,8.995.829.401,,8995829401.0,8995829401.0
Tổng,Ngày 31 tháng 12 năm 2017 > Tổng,Tổng,11.911.023.511.344,35.892.608.254.142,47.803.631.765.486,11911023511344.0,35892608254142.0,47803631765486.0
Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2016 > Điều khoản riêng,Điều khoản riêng,2.766.138.455,194.924.329.922,197.690.468.377,2766138455.0,194924329922.0,197690468377.0
Trọn đời,Ngày 31 tháng 12 năm 2016 > Trọn đời,Trọn đời,86.958.985.941,-,86.958.985.941,86958985941.0,,86958985941.0
Từ kỳ,Ngày 31 tháng 12 năm 2016 > Từ kỳ,Từ kỳ,-,347.676.397,347.676.397,,347676397.0,347676397.0
Hỗn hợp,Ngày 31 tháng 12 năm 2016 > Hỗn hợp,Hỗn hợp,9.472.959.484.001,13.168.977.455.173,22.641.936.939.174,9472959484001.0,13168977455173.0,22641936939174.0
Liên kết chung,Ngày 31 tháng 12 năm 2016 > Liên kết chung,Liên kết chung,-,14.205.907.000.786,14.205.907.000.786,,14205907000786.0,14205907000786.0
Niên kim,Ngày 31 tháng 12 năm 2016 > Niên kim,Niên kim,608.607.198.300,-,608.607.198.300,608607198300.0,,608607198300.0
Hưu trí,Ngày 31 tháng 12 năm 2016 > Hưu trí,Hưu trí,-,57.646.849.401,57.646.849.401,,57646849401.0,57646849401.0
Khác,Ngày 31 tháng 12 năm 2016 > Khác,Khác,-,13.770.299.584,13.770.299.584,,13770299584.0,13770299584.0
Tổng,Ngày 31 tháng 12 năm 2016 > Tổng,Tổng,10.171.291.806.697,27.641.573.611.263,37.812.865.417.960,10171291806697.0,27641573611263.0,37812865417960.0
