row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,769.590.801.434,348.111.162.869,3.926.917.739,1.121.628.882.042,769590801434.0,348111162869.0,3926917739.0,1121628882042.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,30.023.434.029,286.404.000,30.309.838.029,,30023434029.0,286404000.0,30309838029.0
- Giảm trong năm,Nguyên giá: > - Giảm trong năm,- Giảm trong năm,(441.000.000),(30.000.000),-,(471.000.000),-441000000.0,-30000000.0,,-471000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,769.149.801.434,378.104.596.898,4.213.321.739,1.151.467.720.071,769149801434.0,378104596898.0,4213321739.0,1151467720071.0
Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,,,,
Số đầu năm,Giá trị hao mòn luỹ kế: > Số đầu năm,Số đầu năm,68.519.961.261,227.208.798.499,3.926.917.739,299.655.677.499,68519961261.0,227208798499.0,3926917739.0,299655677499.0
- Hao mòn trong năm,Giá trị hao mòn luỹ kế: > - Hao mòn trong năm,- Hao mòn trong năm,7.926.103.960,31.540.255.315,10.323.117,39.476.682.392,7926103960.0,31540255315.0,10323117.0,39476682392.0
- Giảm trong năm,Giá trị hao mòn luỹ kế: > - Giảm trong năm,- Giảm trong năm,(206.600.826),(30.000.000),-,(236.600.826),-206600826.0,-30000000.0,,-236600826.0
Số cuối năm,Giá trị hao mòn luỹ kế: > Số cuối năm,Số cuối năm,76.239.464.395,258.719.053.814,3.937.240.856,338.895.759.065,76239464395.0,258719053814.0,3937240856.0,338895759065.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,701.070.840.173,120.902.364.370,-,821.973.204.543,701070840173.0,120902364370.0,,821973204543.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,692.910.337.039,119.385.543.084,276.080.883,812.571.961.006,692910337039.0,119385543084.0,276080883.0,812571961006.0
