row_label_raw,row_label_full,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017_1,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017_2,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017_3,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017_1,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017_2,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017_3
,,,HOSE,HNX,Tổng,,,
Giá trị số sách,Giá trị số sách,Giá trị số sách,1.028.052.819.273,530.790.222.669,1.558.843.041.942,1028052819273.0,530790222669.0,1558843041942.0
Giá trị thị trường,Giá trị thị trường,Giá trị thị trường,1.482.134.443.510,710.787.763.000,2.192.922.206.510,1482134443510.0,710787763000.0,2192922206510.0
"VaR (95%, 1 ngày)","VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(17.430.884.834),(18.312.420.309),(35.743.305.143),-17430884834.0,-18312420309.0,-35743305143.0
Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),25.567.371.110,11.530.464.047,37.097.835.157,25567371110.0,11530464047.0,37097835157.0
"VaR (95%, 1 tuần)","VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(38.976.643.396),(40.947.816.644),(79.924.460.040),-38976643396.0,-40947816644.0,-79924460040.0
"VaR (95%, 1 tháng)","VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(81.758.096.931),(85.892.864.818),(167.650.961.749),-81758096931.0,-85892864818.0,-167650961749.0
"VaR (95%, 1 năm)","VaR (95%, 1 năm)","VaR (95%, 1 năm)",(276.706.718.410),(290.700.660.248),(567.407.378.658),-276706718410.0,-290700660248.0,-567407378658.0
Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016,,,
,,,HOSE,HNX,Tổng,,,
Giá trị số sách,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016 > Giá trị số sách,Giá trị số sách,924.392.643.568,263.626.094.280,1.188.018.737.848,924392643568.0,263626094280.0,1188018737848.0
Giá trị thị trường,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016 > Giá trị thị trường,Giá trị thị trường,1.157.955.409.540,441.520.765.600,1.599.476.175.140,1157955409540.0,441520765600.0,1599476175140.0
"VaR (95%, 1 ngày)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016 > VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(14.541.652.974),(11.902.648.998),(26.444.301.972),-14541652974.0,-11902648998.0,-26444301972.0
Mức độ đa dạng hóa VaR (95%),Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016 > Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),18.141.480.892,7.227.525.676,25.369.006.568,18141480892.0,7227525676.0,25369006568.0
"VaR (95%, 1 tuần)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016 > VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(32.516.124.556),(26.615.132.272),(59.131.256.828),-32516124556.0,-26615132272.0,-59131256828.0
"VaR (95%, 1 tháng)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016 > VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(68.206.398.285),(55.828.372.444),(124.034.770.729),-68206398285.0,-55828372444.0,-124034770729.0
"VaR (95%, 1 năm)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2016 > VaR (95%, 1 năm)","VaR (95%, 1 năm)",(230.841.584.532),(188.948.695.151),(419.790.279.683),-230841584532.0,-188948695151.0,-419790279683.0
