row_label_raw,row_label_full,col_0,Quá hạn,Không kỳ hạn xác định,Đến 01 Năm,Từ 01 - 05 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không kỳ hạn xác định,numeric__Đến 01 Năm,numeric__Từ 01 - 05 năm,numeric__Trên 5 năm,numeric__Tổng cộng
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,3.789.197,-,-,3.789.197,,,3789197.0,,,3789197.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,150.506,-,1.073.595,-,-,1.224.101,150506.0,,1073595.0,,,1224101.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,-,-,885.327,-,-,885.327,,,885327.0,,,885327.0
Tài sản tài bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tài bảo hiểm,Tài sản tài bảo hiểm,-,-,2.344.655,-,-,2.344.655,,,2344655.0,,,2344655.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,113.844,-,-,113.844,,,113844.0,,,113844.0
"- Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cảm cố, ký quỹ, ký cược","- Các khoản cảm cố, ký quỹ, ký cược",-,-,83.911,-,-,83.911,,,83911.0,,,83911.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,-,-,29.933,-,-,29.933,,,29933.0,,,29933.0
Đầu tư nấm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,189.901,-,34.550.214,19.675.593,62.953.257,117.368.965,189901.0,,34550214.0,19675593.0,62953257.0,117368965.0
- Hợp đồng tiến gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiến gửi có kỳ hạn,- Hợp đồng tiến gửi có kỳ hạn,-,-,29.189.677,2.980.280,182.588,32.352.545,,,29189677.0,2980280.0,182588.0,32352545.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,189.901,-,5.360.537,16.695.313,62.770.669,85.016.420,189901.0,,5360537.0,16695313.0,62770669.0,85016420.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,2.230.828,129.840,-,-,2.360.668,,2230828.0,129840.0,,,2360668.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,1.330.051,-,-,-,1.330.051,,1330051.0,,,,1330051.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,671.764,-,-,-,671.764,,671764.0,,,,671764.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,229.013,-,-,-,229.013,,229013.0,,,,229013.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,129.840,-,-,129.840,,,129840.0,,,129840.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,215.893,-,-,-,215.893,,215893.0,,,,215893.0
Cho vay và tạm ứng khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,1.906,-,1.578.341,-,-,1.580.247,1906.0,,1578341.0,,,1580247.0
Các tài sản khác,TÀI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,7.505,-,399.431,-,-,406.936,7505.0,,399431.0,,,406936.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,349.818,2.446.721,44.864.444,19.675.593,62.953.257,130.289.833,349818.0,2446721.0,44864444.0,19675593.0,62953257.0,130289833.0
