row_label_raw,row_label_full,col_0,Giá trị ghi số > Nguyên giá VND,Giá trị ghi số > Dư phòng giảm giá trị VND,Giá trị ghi số > Giá trị thuần VND,Giá trị ghi số > Giá trị hợp lý VND,numeric__Giá trị ghi số > Nguyên giá VND,numeric__Giá trị ghi số > Dư phòng giảm giá trị VND,numeric__Giá trị ghi số > Giá trị thuần VND,numeric__Giá trị ghi số > Giá trị hợp lý VND
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,57.635.596.978.576,(832.500.926.601),56.803.096.051.975,59.623.803.267.286,57635596978576.0,-832500926601.0,56803096051975.0,59623803267286.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,20.021.289.590.848,(442.600.000.000),19.578.689.590.848,19.747.093.905.363,20021289590848.0,-442600000000.0,19578689590848.0,19747093905363.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,37.614.307.387.728,(389.900.926.601),37.224.406.461.127,39.876.709.361.923,37614307387728.0,-389900926601.0,37224406461127.0,39876709361923.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.754.408.712.617,(349.504.452.363),2.404.904.260.254,2.687.717.765.912,2754408712617.0,-349504452363.0,2404904260254.0,2687717765912.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.163.479.862.846,(238.698.105.315),924.781.757.531,1.466.369.187.120,1163479862846.0,-238698105315.0,924781757531.0,1466369187120.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,611.059.486.331,(110.806.347.048),500.253.139.283,373.198.138.281,611059486331.0,-110806347048.0,500253139283.0,373198138281.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,233.000.407.211,-,233.000.407.211,256.776.400.000,233000407211.0,,233000407211.0,256776400000.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,746.868.956.229,-,746.868.956.229,591.374.040.511,746868956229.0,,746868956229.0,591374040511.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,248.365.409.765,(34.249.995.785),214.115.413.980,377.835.395.123,248365409765.0,-34249995785.0,214115413980.0,377835395123.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,1.158.722.205.897,(93.064.308.300),1.065.657.897.597,1.065.657.897.597,1158722205897.0,-93064308300.0,1065657897597.0,1065657897597.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,869.655.574.993,(235.839.320.722),633.816.254.271,639.526.103.259,869655574993.0,-235839320722.0,633816254271.0,639526103259.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,443.785.771.288,-,443.785.771.288,441.493.981.588,443785771288.0,,443785771288.0,441493981588.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,1.316.288.076.711,-,1.316.288.076.711,1.316.288.076.711,1316288076711.0,,1316288076711.0,1316288076711.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,536.739.139.789,(47.596.706.263),489.142.433.526,489.142.433.526,536739139789.0,-47596706263.0,489142433526.0,489142433526.0
"- Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cảm cố, ký quỹ, ký cược","- Các khoản cảm cố, ký quỹ, ký cược",65.408.085.149,-,65.408.085.149,65.408.085.149,65408085149.0,,65408085149.0,65408085149.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,5.896.184.850,-,5.896.184.850,5.896.184.850,5896184850.0,,5896184850.0,5896184850.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,465.434.869.790,(47.596.706.263),417.838.163.527,417.838.163.527,465434869790.0,-47596706263.0,417838163527.0,417838163527.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.883.458.103.350,-,2.883.458.103.350,2.883.458.103.350,2883458103350.0,,2883458103350.0,2883458103350.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,67.847.019.972.986,(1.592.755.710.034),66.254.264.262.952,69.524.923.024.352,67847019972986.0,-1592755710034.0,66254264262952.0,69524923024352.0
