row_label_raw,row_label_full,Đơn vị được đầu tư,Vốn Tập đoàn đã góp cuối năm,Giá trị khoản đầu tư đầu năm,(Giảm)/tăng vốn trong năm,Cổ tức nhận được trong năm,Lợi nhuận/(lỗ) trong năm thuộc về Tập đoàn,Giá trị khoản đầu tư cuối năm,numeric__Vốn Tập đoàn đã góp cuối năm,numeric__Giá trị khoản đầu tư đầu năm,numeric__(Giảm)/tăng vốn trong năm,numeric__Cổ tức nhận được trong năm,numeric__Lợi nhuận/(lỗ) trong năm thuộc về Tập đoàn,numeric__Giá trị khoản đầu tư cuối năm
Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,,,,,,
Bảo Việt Resort,Theo phương pháp vốn chủ sở hữu > Bảo Việt Resort,Bảo Việt Resort,63.500.000.000,20.089.038.911,12.303.290.000,(333.705.674),-,32.058.623.237,63500000000.0,20089038911.0,12303290000.0,-333705674.0,,32058623237.0
VIGEBA,Theo phương pháp vốn chủ sở hữu > VIGEBA,VIGEBA,54.000.000.000,61.954.566.223,-,(5.400.000.000),5.388.251.839,61.942.818.062,54000000000.0,61954566223.0,,-5400000000.0,5388251839.0,61942818062.0
Long Việt,Theo phương pháp vốn chủ sở hữu > Long Việt,Long Việt,29.269.440.000,32.559.958.676,-,-,(956.782.136),31.603.176.540,29269440000.0,32559958676.0,,,-956782136.0,31603176540.0
Bảo Việt Tokio Marine,Theo phương pháp vốn chủ sở hữu > Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,147.000.000.000,223.978.997.669,-,(36.040.714.302),38.825.250.192,226.763.533.559,147000000000.0,223978997669.0,,-36040714302.0,38825250192.0,226763533559.0
Bảo Việt SCIC,Theo phương pháp vốn chủ sở hữu > Bảo Việt SCIC,Bảo Việt SCIC,70.000.000.000,76.335.632.520,-,-,(486.418.044),75.849.214.476,70000000000.0,76335632520.0,,,-486418044.0,75849214476.0
Bảo Việt Bank,Theo phương pháp vốn chủ sở hữu > Bảo Việt Bank,Bảo Việt Bank,1.560.000.000.000,1.676.140.599.970,-,-,56.232.281.014,1.732.372.880.984,1560000000000.0,1676140599970.0,,,56232281014.0,1732372880984.0
Trung Nam Phú Quốc,Theo phương pháp vốn chủ sở hữu > Trung Nam Phú Quốc,Trung Nam Phú Quốc,431.200.000.000,431.200.000.000,-,-,-,431.200.000.000,431200000000.0,431200000000.0,,,,431200000000.0
Du lịch Lâm Đồng,Theo phương pháp vốn chủ sở hữu > Du lịch Lâm Đồng,Du lịch Lâm Đồng,203.315.728.000,210.117.012.677,-,-,21.918.107.936,232.035.120.613,203315728000.0,210117012677.0,,,21918107936.0,232035120613.0
Saigonship (i),Theo phương pháp vốn chủ sở hữu > Saigonship (i),Saigonship (i),63.361.212.137,63.361.212.137,(63.361.212.137),-,-,-,63361212137.0,63361212137.0,-63361212137.0,,,
Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,,,,,,
PLT (ii),Theo giá gốc > PLT (ii),PLT (ii),97.650.000.000,-,97.650.000.000,-,-,97.650.000.000,97650000000.0,,97650000000.0,,,97650000000.0
,,,2.719.296.380.137,2.795.737.018.783,46.592.077.863,(41.774.419.976),120.920.690.801,2.921.475.367.471,2719296380137.0,2795737018783.0,46592077863.0,-41774419976.0,120920690801.0,2921475367471.0
