row_label_raw,row_label_full,col_0,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bất động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bất động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,13.435.783,6.445.572,-,-,(2.499),19.878.856,13435783.0,6445572.0,,,-2499.0,19878856.0
Phi nhượng tái bảo hiểm,Phi nhượng tái bảo hiểm,Phi nhượng tái bảo hiểm,(8.434),(1.191.622),-,-,-,(1.200.056),-8434.0,-1191622.0,,,,-1200056.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,1.231,330.607,-,-,(1.170),330.668,1231.0,330607.0,,,-1170.0,330668.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,13.428.580,5.584.557,-,-,(3.669),19.009.468,13428580.0,5584557.0,,,-3669.0,19009468.0
Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,(3.743.872),(2.989.348),-,-,-,(6.733.220),-3743872.0,-2989348.0,,,,-6733220.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,-,(171.400),-,-,-,(171.400),,-171400.0,,,,-171400.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,-,8.828,-,-,-,8.828,,8828.0,,,,8828.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,-,521.456,-,-,-,521.456,,521456.0,,,,521456.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(7.851.781),-,-,-,-,(7.851.781),-7851781.0,,,,,-7851781.0
Giảm/(tầng) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Giảm/(tầng) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Giảm/(tầng) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,(7.683),(242.357),-,-,-,(250.040),-7683.0,-242357.0,,,,-250040.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,-,116.506,-,-,-,116.506,,116506.0,,,,116506.0
Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,-,93.000,-,-,-,93.000,,93000.0,,,,93000.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,-,(109.618),-,-,-,(109.618),,-109618.0,,,,-109618.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(1.339.072),(1.991.317),-,-,-,(3.330.389),-1339072.0,-1991317.0,,,,-3330389.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(12.942.408),(4.764.250),-,-,-,(17.706.658),-12942408.0,-4764250.0,,,,-17706658.0
Lợi nhuận góp hoạt động kinh doanh bảo hiểm,Lợi nhuận góp hoạt động kinh doanh bảo hiểm,Lợi nhuận góp hoạt động kinh doanh bảo hiểm,486.172,820.307,-,-,(3.669),1.302.810,486172.0,820307.0,,,-3669.0,1302810.0
