row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Năm nay VND,Năm trước VND,numeric__Giao dịch,numeric__Năm nay VND,numeric__Năm trước VND
Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,,,
Bộ Tài chính,Cổ đông sáng lập > Bộ Tài chính,Bộ Tài chính,Cổ tức đã trả,(482.509.800.000),(386.007.840.000),,-482509800000.0,-386007840000.0
SCIC,Cổ đông sáng lập > SCIC,SCIC,Cổ tức đã trả,(22.154.400.000),(17.723.520.000),,-22154400000.0,-17723520000.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Cổ tức đã trả,(174.870.151.450),(98.007.272.800),,-174870151450.0,-98007272800.0
Sumitomo Life,Sumitomo Life,Sumitomo Life,Chi phí dự án Hồ trợ và Chuyển giao Năng lực,,,,,
Sumitomo Life,Sumitomo Life > Sumitomo Life,Sumitomo Life,Kỹ thuật,20.210.341.964,16.558.893.049,,20210341964.0,16558893049.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Bảo Việt Tokio,"Công ty liên doanh, liên kết > Bảo Việt Tokio",Bảo Việt Tokio,Cổ tức nhận được,36.040.714.302,38.468.578.432,,36040714302.0,38468578432.0
Marine,"Công ty liên doanh, liên kết > Marine",Marine,Thoái vốn trong kỳ,-,(6.000.000.000),,,-6000000000.0
