row_label_raw,row_label_full,col_0,Dự phòngbảo hiểm gốc và nhận tảiVND,Dự phòng nhượngtái bảo hiểm (tài sân tái bảo hiểm)VND,Dự phòngbảo hiểm thuầnVND,numeric__Dự phòngbảo hiểm gốc và nhận tảiVND,numeric__Dự phòng nhượngtái bảo hiểm (tài sân tái bảo hiểm)VND,numeric__Dự phòngbảo hiểm thuầnVND
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Dự phòng phí chưa được hưởng,Số đầu năm > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,3.472.295.991.642,(709.578.730.959),2.762.717.260.683,3472295991642.0,-709578730959.0,2762717260683.0
Dự phòng bồi thường,Số đầu năm > Dự phòng bồi thường,Dự phòng bồi thường,1.450.436.873.240,(606.709.345.752),843.727.527.488,1450436873240.0,-606709345752.0,843727527488.0
Dự phòng dao động lớn,Số đầu năm > Dự phòng dao động lớn,Dự phòng dao động lớn,176.172.011.377,-,176.172.011.377,176172011377.0,,176172011377.0
Tổng cộng,Số đầu năm > Tổng cộng,Tổng cộng,5.098.904.876.259,(1.316.288.076.711),3.782.616.799.548,5098904876259.0,-1316288076711.0,3782616799548.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Dự phòng phí chưa được hưởng,Số cuối năm > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,4.225.419.830.577,(976.386.202.557),3.249.033.628.020,4225419830577.0,-976386202557.0,3249033628020.0
Dự phòng bồi thường,Số cuối năm > Dự phòng bồi thường,Dự phòng bồi thường,2.383.354.558.616,(1.368.268.611.949),1.015.085.946.667,2383354558616.0,-1368268611949.0,1015085946667.0
Dự phòng dao động lớn,Số cuối năm > Dự phòng dao động lớn,Dự phòng dao động lớn,23.172.011.377,-,23.172.011.377,23172011377.0,,23172011377.0
Tổng cộng,Số cuối năm > Tổng cộng,Tổng cộng,6.631.946.400.570,(2.344.654.814.506),4.287.291.586.064,6631946400570.0,-2344654814506.0,4287291586064.0
