row_label_raw,row_label_full,col_0,Vốn góp củachù sở hữuVND,Thăng dưvốn cổ phầnVND,Chênh lệch tỷ giáhồi doái (°)VND,Quỹ đầu tưphát triển và dựphòng tài chínhVND,Quỹ khác thuộcvốn chủ sở hữu (**)VND,Lợi nhuậnsau thuếchưa phần phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachù sở hữuVND,numeric__Thăng dưvốn cổ phầnVND,numeric__Chênh lệch tỷ giáhồi doái (°)VND,numeric__Quỹ đầu tưphát triển và dựphòng tài chínhVND,numeric__Quỹ khác thuộcvốn chủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuếchưa phần phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Ngày 01/01/2017,Năm nay > Ngày 01/01/2017,Ngày 01/01/2017,6.804.714.340.000,3.184.332.381.197,15.445.192.000,301.301.554.536,103.568.802.818,2.288.129.402.650(680.471.434.000),333.123.774.337,655.920.177.506,13.686.535.625.044(680.471.434.000),6804714340000.0,3184332381197.0,15445192000.0,301301554536.0,103568802818.0,,333123774337.0,655920177506.0,
Cổ tức chia cho cổ đông,Năm nay > Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,-,-,-,-,-,(112.267.184.975),-,(2.216.600.034),(114.483.785.009),,,,,,-112267184975.0,,-2216600034.0,-114483785009.0
Trích quỹ khen thưởngphúc lợi,Năm nay > Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(59.262.609.891),-,-,(59.262.609.891),,,,,,-59262609891.0,,,-59262609891.0
Của công ty mẹ (***),Năm nay > Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,-,-,(53.004.575.084),-,(2.216.600.034),(55.221.175.118),,,,,,-53004575084.0,,-2216600034.0,-55221175118.0
Của các công ty con,Năm nay > Của các công ty con,Của các công ty con,-,-,-,-,-,(10.217.691.361),-,-,(10.217.691.361),,,,,,-10217691361.0,,,-10217691361.0
Trích quỹ phục vụ hoạtđộng An sinh xã hội (***),Năm nay > Trích quỹ phục vụ hoạtđộng An sinh xã hội (***),Trích quỹ phục vụ hoạtđộng An sinh xã hội (***),-,-,-,-,-,(158.512.591.120),-,-,-,,,,,,-158512591120.0,,,
Trích lập quỹ đầu tư pháttnién,Năm nay > Trích lập quỹ đầu tư pháttnién,Trích lập quỹ đầu tư pháttnién,-,-,-,158.512.591.120,-,(158.512.591.120),-,-,-,,,,158512591120.0,,-158512591120.0,,,
Của công ty mẹ (***),Năm nay > Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,153.265.370.408,-,(153.265.370.408),-,-,-,,,,153265370408.0,,-153265370408.0,,,
Của các công ty con,Năm nay > Của các công ty con,Của các công ty con,-,-,-,5.247.220.712,-,(5.247.220.712),-,-,-,,,,5247220712.0,,-5247220712.0,,,
Lợi nhuận tâng trong nămChi trả thù lao Hội đồng,Năm nay > Lợi nhuận tâng trong nămChi trả thù lao Hội đồng,Lợi nhuận tâng trong nămChi trả thù lao Hội đồng,-,-,-,-,-,1.555.453.247.273,-,47.642.826.701,1.603.096.073.974,,,,,,1555453247273.0,,47642826701.0,1603096073974.0
Quản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Năm nay > Quản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Quản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,-,-,-,-,-,(4.369.609.512),-,-,(4.369.609.512),,,,,,-4369609512.0,,,-4369609512.0
Trích lập quỹ dự phòng tài chính và quỹ dự trữ bắtbước hoạt động bảo hiểm,Năm nay > Trích lập quỹ dự phòng tài chính và quỹ dự trữ bắtbước hoạt động bảo hiểm,Trích lập quỹ dự phòng tài chính và quỹ dự trữ bắtbước hoạt động bảo hiểm,-,-,-,4.963.188.108,-,(57.214.406.436),52.251.218.328,-,-,,,,4963188108.0,,-57214406436.0,52251218328.0,,
Giảm khác (****),Năm nay > Giảm khác (****),Giảm khác (****),-,-,-,-,-,(12.344.526.309),-,(346.805.033),(12.691.431.342),,,,,,-12344526309.0,,-346805033.0,-12691431342.0
Ngày 31/12/2017,Năm nay > Ngày 31/12/2017,Ngày 31/12/2017,6.804.714.340.000,3.184.332.381.197,15.445.192.000,464.777.333.764,103.568.802.818,2.808.185.106.210,385.374.992.665,700.999.599.140,14.467.397.747.794,6804714340000.0,3184332381197.0,15445192000.0,464777333764.0,103568802818.0,2808185106210.0,385374992665.0,700999599140.0,14467397747794.0
