row_label_raw,row_label_full,col_0,Quá hạn,Không kỳ hạn xác định,Đến 01 năm,Từ 01 - 05 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không kỳ hạn xác định,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 5 năm,numeric__Tổng cộng
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,2.883.458,-,-,2.883.458,,,2883458.0,,,2883458.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,75.810,-,558.006,-,-,633.816,75810.0,,558006.0,,,633816.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,-,-,443.786,-,-,443.786,,,443786.0,,,443786.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,-,1.316.288,-,-,1.316.288,,,1316288.0,,,1316288.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,71.304,-,-,71.304,,,71304.0,,,71304.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",-,-,65.408,-,-,65.408,,,65408.0,,,65408.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,-,-,5.896,-,-,5.896,,,5896.0,,,5896.0
Đầu tư nấm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,-,-,22.570.742,20.326.319,54.801.410,97.698.471,,,22570742.0,20326319.0,54801410.0,97698471.0
- Hợp đồng tiến gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiến gửi có kỳ hạn,- Hợp đồng tiến gửi có kỳ hạn,-,-,18.057.342,2.164.971,198.609,20.420.922,,,18057342.0,2164971.0,198609.0,20420922.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,4.513.400,18.161.348,54.602.801,77.277.549,,,4513400.0,18161348.0,54602801.0,77277549.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,1.658.035,57.930,231.720,1.784.150,3.731.835,,1658035.0,57930.0,231720.0,1784150.0,3731835.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,924.782,-,-,-,924.782,,924782.0,,,,924782.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,500.253,-,-,-,500.253,,500253.0,,,,500253.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,233.000,-,-,-,233.000,,233000.0,,,,233000.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,57.930,231.720,1.784.150,2.073.800,,,57930.0,231720.0,1784150.0,2073800.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,214.115,-,-,-,214.115,,214115.0,,,,214115.0
Cho vay và tạm ứng khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,5.867,-,1.314.371,-,-,1.320.238,5867.0,,1314371.0,,,1320238.0
Các tài sản khác,TÀI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,23.103,-,394.735,-,-,417.838,23103.0,,394735.0,,,417838.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,104.780,1.872.150,29.610.620,20.558.039,56.585.560,108.731.149,104780.0,1872150.0,29610620.0,20558039.0,56585560.0,108731149.0
