row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Các bên liên quan,Các bên liên quan,Các bên liên quan,Giao dịch,Số cuối năm VND,Số đầu năm VND,,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,"Số dư tiền gửi thanh toán, ký quỹ",1.146.016.313.331,836.941.670.152,,1146016313331.0,836941670152.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư tiền gửi có ký hạn và lãi dự thu,7.901.164.758.619,5.281.793.813.170,,7901164758619.0,5281793813170.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư trái phiếu và lãi dự thu,1.304.102.118.545,1.304.104.585.673,,1304102118545.0,1304104585673.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư các hợp đồng mua bán lại trái phiếu Chính phủ,(4.833.671.857.676),(1.572.737.755.405),,-4833671857676.0,-1572737755405.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,"Phải thu phí CNTT, dịch vụ đào tạo",1.149.687.360,686.193.451,,1149687360.0,686193451.0
Bảo Việt Bank,Công ty liên kết > Bảo Việt Bank,Bảo Việt Bank,Số dư khoản vay,(873.110.000),(1.360.550.000),,-873110000.0,-1360550000.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Phải thu liên quan đến góp vốn vào dự án TT1 - Thành phố Giao lưu,204.435.252.012,204.435.252.012,,204435252012.0,204435252012.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Phải thu liên quan đến hoạt động xây lắp,86.788.121,763.759.358,,86788121.0,763759358.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Đặt cọc tham gia dự án TT3 - Thành phố Giao lưu,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Phải trả tiền mua các căn hộ thuộc dự án TT1 - Thành phố Giao lưu,(76.089.775.001),(76.089.775.001),,-76089775001.0,-76089775001.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Dự thu cổ tức,5.400.000.000,-,,5400000000.0,
