row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,,
Phải thu hoạt động bảo hiểm gốc,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,781.823.525.717,652.562.888.699,781823525717.0,652562888699.0
Phải thu hoạt động nhận tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhận tái bảo hiểm,Phải thu hoạt động nhận tái bảo hiểm,138.949.340.432,167.378.442.194,138949340432.0,167378442194.0
Phải thu hoạt động nhượng tái bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhượng tái bảo hiểm,Phải thu hoạt động nhượng tái bảo hiểm,746.378.020.722,276.407.329.094,746378020722.0,276407329094.0
Phải thu khác hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác hoạt động bảo hiểm,Phải thu khác hoạt động bảo hiểm,542.041.854.213,96.368.621.984,542041854213.0,96368621984.0
Phải thu liên quan đến đồng bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu liên quan đến đồng bảo hiểm,Phải thu liên quan đến đồng bảo hiểm,144.002.343.684,120.724.064.310,144002343684.0,120724064310.0
,,,2.353.195.084.768,1.313.441.346.281,2353195084768.0,1313441346281.0
Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,,
Phải thu cổ tức,Phải thu về hoạt động đầu tư tài chính > Phải thu cổ tức,Phải thu cổ tức,29.933.160.274,5.896.184.850,29933160274.0,5896184850.0
Lãi tiền gửi ngân hàng,Phải thu về hoạt động đầu tư tài chính > Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,851.916.556.009,434.468.777.324,851916556009.0,434468777324.0
Phải thu lãi trái phiếu,Phải thu về hoạt động đầu tư tài chính > Phải thu lãi trái phiếu,Phải thu lãi trái phiếu,1.955.968.611.918,1.468.962.558.797,1955968611918.0,1468962558797.0
