row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,15.1,,,151.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,1.533.291.508.690,1.163.479.862.846,,1533291508690.0,1163479862846.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,766.411.545.643,611.059.486.331,,766411545643.0,611059486331.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,229.013.065.934,233.000.407.211,,229013065934.0,233000407211.0
Trái phiếu,Trái phiếu,Trái phiếu,,120.026.959.200,746.868.956.229,,120026959200.0,746868956229.0
,,,,2.648.743.079.467,2.754.408.712.617,,2648743079467.0,2754408712617.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,15.1,(297.888.188.831),(349.504.452.363),151.0,-297888188831.0,-349504452363.0
,,,,2.350.854.890.636,2.404.904.260.254,,2350854890636.0,2404904260254.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,15.2,,,152.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,28.813.967.758.993,18.430.007.299.944,,28813967758993.0,18430007299944.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,27.436.990.939.483,17.209.159.823.856,,27436990939483.0,17209159823856.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,262.781.431.005,284.851.389.901,,262781431005.0,284851389901.0
- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,,1.114.195.388.505,935.996.086.187,,1114195388505.0,935996086187.0
Dài hạn,Dài hạn,Dài hạn,,40.564.547.957.380,37.410.739.200.652,,40564547957380.0,37410739200652.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,2.763.924.337.250,1.940.146.688.223,,2763924337250.0,1940146688223.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,37.800.623.620.130,35.470.592.512.429,,37800623620130.0,35470592512429.0
,,,,69.378.515.716.373,55.840.746.500.596,,69378515716373.0,55840746500596.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,15.3,,,153.0,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",15.3.1,2.921.475.367.471,2.795.737.018.783,1531.0,2921475367471.0,2795737018783.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,15.3.2,366.889.741.221,367.302.771.223,1532.0,366889741221.0,367302771223.0
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,15.3.2,(32.058.951.786),(34.249.995.785),1532.0,-32058951786.0,-34249995785.0
,,,,3.256.306.156.906,3.128.789.794.221,,3256306156906.0,3128789794221.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,74.985.676.763.915,61.374.440.555.071,,74985676763915.0,61374440555071.0
