row_label_raw,row_label_full,Hợp đồng repo (*):,Số đầu năm VND,Bản trong năm VND,Mua lại trong năm VND,Chi phí repo đã phân bổ trong năm VND,Số cuối năm VND,Giá trị ghi số trái phiếu repo VND,numeric__Số đầu năm VND,numeric__Bản trong năm VND,numeric__Mua lại trong năm VND,numeric__Chi phí repo đã phân bổ trong năm VND,numeric__Số cuối năm VND,numeric__Giá trị ghi số trái phiếu repo VND
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,2.982.387.564.804,3.558.365.500.000,(5.858.958.650.000),72.020.085.196,753.814.500.000,598.787.542.474,2982387564804.0,3558365500000.0,-5858958650000.0,72020085196.0,753814500000.0,598787542474.0
Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,3.615.744.467.431,5.910.513.220.000,(5.801.727.048.032),119.755.750.759,3.844.286.390.158,3.146.511.671.102,3615744467431.0,5910513220000.0,-5801727048032.0,119755750759.0,3844286390158.0,3146511671102.0
Ngân hàng TMCP,Ngân hàng TMCP,Ngân hàng TMCP,4.742.500.578.021,9.571.207.600.000,(11.369.949.506.329),248.832.589.882,3.192.591.261.574,2.692.066.258.309,4742500578021.0,9571207600000.0,-11369949506329.0,248832589882.0,3192591261574.0,2692066258309.0
Kỹ thương Việt Nam,Kỹ thương Việt Nam,Kỹ thương Việt Nam,1.572.737.755.405,5.811.963.625.000,(2.727.810.000.000),176.780.477.271,4.833.671.857.676,4.088.000.008.801,1572737755405.0,5811963625000.0,-2727810000000.0,176780477271.0,4833671857676.0,4088000008801.0
Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,-,6.403.184.120.000,(1.991.552.470.000),94.111.046.213,4.505.742.696.213,3.612.650.722.598,,6403184120000.0,-1991552470000.0,94111046213.0,4505742696213.0,3612650722598.0
Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,,,,,,,,,,,,
Ngân hàng TMCP Việt Nam,Ngân hàng TMCP Đông Nam Á > Ngân hàng TMCP Việt Nam,Ngân hàng TMCP Việt Nam,-,139.500.000.000,(82.720.066.667),2.912.100.000,59.692.033.333,70.000.000.000,,139500000000.0,-82720066667.0,2912100000.0,59692033333.0,70000000000.0
Thịnh Vương,Ngân hàng TMCP Đông Nam Á > Thịnh Vương,Thịnh Vương,-,319.632.500.000,-,2.396.375.000,322.028.875.000,274.633.159.972,,319632500000.0,,2396375000.0,322028875000.0,274633159972.0
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Đông Nam Á > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,-,90.000.000.000,-,242.643.955,90.242.643.955,90.104.400.000,,90000000000.0,,242643955.0,90242643955.0,90104400000.0
Công ty khác,Công ty khác,Công ty khác,-,-,-,-,-,-,,,,,,
,,,12.913.370.365.661,31.804.366.565.000,(27.832.717.741.028),717.051.068.276,17.602.070.257.909,14.572.753.763.256,12913370365661.0,31804366565000.0,-27832717741028.0,717051068276.0,17602070257909.0,14572753763256.0
