row_label_raw,row_label_full,col_0,Quá hạn,Không ký hạn xác định,Đến 01 năm,Từ 01 - 05 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không ký hạn xác định,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 5 năm,numeric__Tổng cộng
NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,,,,,,
Nghĩa vụ nợ theo hợp đồng bảo hiểm,NỘ TÀI CHÍNH > Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nghĩa vụ nợ theo hợp đồng bảo hiểm,10.762,-,(5.175.448),(14.824.103),125.050.703,105.061.914,10762.0,,-5175448.0,-14824103.0,125050703.0,105061914.0
Phải trả hoạt động bảo hiểm gốc,NỘ TÀI CHÍNH > Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,-,-,1.017.028,-,-,1.017.028,,,1017028.0,,,1017028.0
Phải trả tái bảo hiểm,NỘ TÀI CHÍNH > Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,-,-,1.525.028,-,-,1.525.028,,,1525028.0,,,1525028.0
Các nghĩa vụ nợ tài chính khác,NỘ TÀI CHÍNH > Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,-,-,18.064.680,-,-,18.064.680,,,18064680.0,,,18064680.0
- Nhận ký quỹ,NỘ TÀI CHÍNH > - Nhận ký quỹ,- Nhận ký quỹ,-,-,133.289,-,-,133.289,,,133289.0,,,133289.0
- Khác,NỘ TÀI CHÍNH > - Khác,- Khác,-,-,17.931.391,-,-,17.931.391,,,17931391.0,,,17931391.0
TỔNG CỘNG,NỘ TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,10.762,-,15.431.288,(14.824.103),125.050.703,125.668.650,10762.0,,15431288.0,-14824103.0,125050703.0,125668650.0
