row_label_raw,row_label_full,col_0,Số đầu năm VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Số cuối năm VND,numeric__Số đầu năm VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Số cuối năm VND
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,,,,
Thuế GTGT hàng bán nội địa,Thuế phải nộp Nhà nước > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,18.151.324.276,539.806.081.678,(542.778.739.323),15.178.666.631,18151324276.0,539806081678.0,-542778739323.0,15178666631.0
Thuế thu nhập doanh nghiệp (*),Thuế phải nộp Nhà nước > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),(29.507.941.981),329.414.538.838,(239.450.259.049),60.456.337.808,-29507941981.0,329414538838.0,-239450259049.0,60456337808.0
Thuế thu nhập cá nhân,Thuế phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,26.159.280.757,382.020.157.949,(374.832.735.509),33.346.703.197,26159280757.0,382020157949.0,-374832735509.0,33346703197.0
Tiền thuế đất,Thuế phải nộp Nhà nước > Tiền thuế đất,Tiền thuế đất,(53.130.042),6.135.533.962,(8.022.050.914),(1.939.646.994),-53130042.0,6135533962.0,-8022050914.0,-1939646994.0
Các loại thuế khác,Thuế phải nộp Nhà nước > Các loại thuế khác,Các loại thuế khác,1.254.587.750,39.330.472.494,(38.576.907.769),2.008.152.475,1254587750.0,39330472494.0,-38576907769.0,2008152475.0
,,,16.004.120.760,1.296.706.784.921,(1.203.660.692.564),109.050.213.117,16004120760.0,1296706784921.0,-1203660692564.0,109050213117.0
