row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thăng dư vốn cổ phần VND,Chênh lệch tỷ giá hối doài VND,Quỹ đầu tư phát triển và dự phòng tài chính VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Quỹ dự trữ bắt buộc hoạt động bảo hiểm VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thăng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá hối doài VND,numeric__Quỹ đầu tư phát triển và dự phòng tài chính VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Quỹ dự trữ bắt buộc hoạt động bảo hiểm VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,6.804.714.340.000,3.184.332.381.197,16.075.608.000,142.369.277.946,103.568.802.818,2.038.471.565.269(544.377.147.200),292.449.189.772,616.210.081.846,13.198.191.246.848(544.377.147.200),6804714340000.0,3184332381197.0,16075608000.0,142369277946.0,103568802818.0,,292449189772.0,616210081846.0,
Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,-,-,-,-,-,-,-,-,-,,,,,,,,,
Trích quỹ khen thưởng phúc lợi,Cổ tức chia cho cổ đông > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(115.078.541.327),-,(1.622.140.316),(116.700.681.643),,,,,,-115078541327.0,,-1622140316.0,-116700681643.0
Trích quỹ phục vụ hoạt động An sinh xã hội,Cổ tức chia cho cổ đông > Trích quỹ phục vụ hoạt động An sinh xã hội,Trích quỹ phục vụ hoạt động An sinh xã hội,-,-,-,-,-,(10.023.709.777),-,-,(10.023.709.777),,,,,,-10023709777.0,,,-10023709777.0
Trích lập quỹ đầu tư phát triển,Cổ tức chia cho cổ đông > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,154.643.961.621,-,(154.643.961.621),-,-,-,,,,154643961621.0,,-154643961621.0,,,
Lợi nhuận tăng trong năm,Cổ tức chia cho cổ đông > Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,1.123.333.060.371,-,41.615.866.742,1.164.948.927.113,,,,,,1123333060371.0,,41615866742.0,1164948927113.0
Chi trả thù lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con,Cổ tức chia cho cổ đông > Chi trả thù lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con,Chi trả thù lao Hội đồng Quản trị và Ban Kiểm soát của Tập đoàn và các Công ty con,-,-,-,-,-,(4.853.851.057),-,(20.800.000),(4.874.651.057),,,,,,-4853851057.0,,-20800000.0,-4874651057.0
Trích lập quỹ dự phòng tài chính,Cổ tức chia cho cổ đông > Trích lập quỹ dự phòng tài chính,Trích lập quỹ dự phòng tài chính,-,-,-,4.288.314.969,-,(44.962.899.534),40.674.584.565,-,-,,,,4288314969.0,,-44962899534.0,40674584565.0,,
Giảm khác,Cổ tức chia cho cổ đông > Giảm khác,Giảm khác,-,-,(630.416.000),-,-,264.887.526,-,(262.830.766),(628.359.240),,,-630416000.0,,,264887526.0,,-262830766.0,-628359240.0
Số dư tại ngày 31/12/2016,Cổ tức chia cho cổ đông > Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,6.804.714.340.000,3.184.332.381.197,15.445.192.000,301.301.554.536,103.568.802.818,2.288.129.402.650,333.123.774.337,655.920.177.506,13.686.535.625.044,6804714340000.0,3184332381197.0,15445192000.0,301301554536.0,103568802818.0,2288129402650.0,333123774337.0,655920177506.0,13686535625044.0
