row_label_raw,row_label_full,Công ty được đầu tư,Lĩnh vực kinh doanh,Vốn điều lệ VND,Tỷ lệ sở hữu %,Tỷ lệ quyền biểu quyết của Tập đoàn %,numeric__Lĩnh vực kinh doanh,numeric__Vốn điều lệ VND,numeric__Tỷ lệ sở hữu %,numeric__Tỷ lệ quyền biểu quyết của Tập đoàn %
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
"Công ty Cổ phần Khách sạn và Du lịch Bảo Việt (""Bảo Việt Resort"") (*)","Công ty liên kết > Công ty Cổ phần Khách sạn và Du lịch Bảo Việt (""Bảo Việt Resort"") (*)","Công ty Cổ phần Khách sạn và Du lịch Bảo Việt (""Bảo Việt Resort"") (*)",Dịch vụ du lịch và nghĩ dưỡng,75.803.290.000,"48,55","38,58",,75803290000.0,48.55,38.58
"Công ty Cổ phần Đầu tư và Xây dựng Quốc tế VIGEBA (""VIGEBA"")","Công ty liên kết > Công ty Cổ phần Đầu tư và Xây dựng Quốc tế VIGEBA (""VIGEBA"")","Công ty Cổ phần Đầu tư và Xây dựng Quốc tế VIGEBA (""VIGEBA"")",Kinh doanh bất động sản,180.000.000.000,"30,00","30,00",,180000000000.0,30.0,30.0
"Công ty Cổ phần Đầu tư và Xây dựng Long Việt (""Long Việt"")","Công ty liên kết > Công ty Cổ phần Đầu tư và Xây dựng Long Việt (""Long Việt"")","Công ty Cổ phần Đầu tư và Xây dựng Long Việt (""Long Việt"")",Xây dựng,65.043.200.000,"45,00","45,00",,65043200000.0,45.0,45.0
"Công ty Cổ phần Đầu tư SCIC – Bảo Việt (""Bảo Việt SCIC"")","Công ty liên kết > Công ty Cổ phần Đầu tư SCIC – Bảo Việt (""Bảo Việt SCIC"")","Công ty Cổ phần Đầu tư SCIC – Bảo Việt (""Bảo Việt SCIC"")",Kinh doanh bất động sản,140.000.000.000,"50,00","50,00",,140000000000.0,50.0,50.0
"Ngân hàng TMCP Bảo Việt (""Bảo Việt Bank"")","Công ty liên kết > Ngân hàng TMCP Bảo Việt (""Bảo Việt Bank"")","Ngân hàng TMCP Bảo Việt (""Bảo Việt Bank"")",Dịch vụ ngân hàng,3.150.000.000.000,"49,52","49,52",,3150000000000.0,49.52,49.52
"Công ty Cổ phần Trung Nam Phú Quốc (""Trung Nam Phú Quốc"")","Công ty liên kết > Công ty Cổ phần Trung Nam Phú Quốc (""Trung Nam Phú Quốc"")","Công ty Cổ phần Trung Nam Phú Quốc (""Trung Nam Phú Quốc"")",Dịch vụ du lịch và nghi dưỡng,220.000.000.000,"49,00","49,00",,220000000000.0,49.0,49.0
"Công ty Cổ phần Du lịch Lâm Đồng (""Du lịch Lâm Đồng"")","Công ty liên kết > Công ty Cổ phần Du lịch Lâm Đồng (""Du lịch Lâm Đồng"")","Công ty Cổ phần Du lịch Lâm Đồng (""Du lịch Lâm Đồng"")",Dịch vụ du lịch và nghi dưỡng,200.000.007.122,"36,31","36,31",,200000007122.0,36.31,36.31
"Công ty Cổ phần Công nghệ thông tin PLT (""PLT"")","Công ty liên kết > Công ty Cổ phần Công nghệ thông tin PLT (""PLT"")","Công ty Cổ phần Công nghệ thông tin PLT (""PLT"")","Dịch vụ công nghệ thông tin, viễn thông",18.000.000.000,"35,00","35,00",,18000000000.0,35.0,35.0
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,
"Công ty TNHH Bảo hiểm Bảo Việt - Tokio Marine (""Bảo Việt Tokio Marine"")","Công ty liên doanh > Công ty TNHH Bảo hiểm Bảo Việt - Tokio Marine (""Bảo Việt Tokio Marine"")","Công ty TNHH Bảo hiểm Bảo Việt - Tokio Marine (""Bảo Việt Tokio Marine"")","Bảo hiểm phi nhận thọ, tái bảo hiểm, giám định tổn thất, hoạt động đầu tư tài chính",300.000.000.000,"49,00","49,00",,300000000000.0,49.0,49.0
