row_label_raw,row_label_full,col_0,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bắt động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bắt động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,17.444.355,7.563.868,-,-,(83),25.008.140,17444355.0,7563868.0,,,-83.0,25008140.0
Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,(11.374),(1.629.773),-,-,-,(1.641.147),-11374.0,-1629773.0,,,,-1641147.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,4.819,670.302,-,-,(29),675.092,4819.0,670302.0,,,-29.0,675092.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,17.437.800,6.604.397,-,-,(112),24.042.085,17437800.0,6604397.0,,,-112.0,24042085.0
Chi bồi thường bảo hiểm gốc và chi trả đảo hạn,Chi bồi thường bảo hiểm gốc và chi trả đảo hạn,Chi bồi thường bảo hiểm gốc và chi trả đảo hạn,(4.771.937),(3.690.699),-,-,-,(8.462.636),-4771937.0,-3690699.0,,,,-8462636.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,-,(166.688),-,-,-,(166.688),,-166688.0,,,,-166688.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,-,3.824,-,-,-,3.824,,3824.0,,,,3824.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,-,847.696,-,-,-,847.696,,847696.0,,,,847696.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(9.984.734),-,-,-,-,(9.984.734),-9984734.0,,,,,-9984734.0
Giảm/(tăng) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Giảm/(tăng) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Giảm/(tăng) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,10.203,(932.918),-,-,-,(922.715),10203.0,-932918.0,,,,-922715.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,-,761.559,-,-,-,761.559,,761559.0,,,,761559.0
Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,-,281.408,-,-,-,281.408,,281408.0,,,,281408.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,-,(128.408),-,-,-,(128.408),,-128408.0,,,,-128408.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(1.662.714),(2.614.480),-,-,50.155,(4.227.039),-1662714.0,-2614480.0,,,50155.0,-4227039.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(16.409.182),(5.638.706),-,-,50.155,(21.997.733),-16409182.0,-5638706.0,,,50155.0,-21997733.0
Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,1.028.618,965.691,-,-,50.043,2.044.352,1028618.0,965691.0,,,50043.0,2044352.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,-,313.359,22.457,(267.995),67.821,,,313359.0,22457.0,-267995.0,67821.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(1.508.452),-,-,-,-,(1.508.452),-1508452.0,,,,,-1508452.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(1.781.406),(950.383),(530.652),(18.049),132.986,(3.147.504),-1781406.0,-950383.0,-530652.0,-18049.0,132986.0,-3147504.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,3.231.454,368.381,1.523.459,4.492,(789.891),4.337.895,3231454.0,368381.0,1523459.0,4492.0,-789891.0,4337895.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,30.649,3.861,(249),(493),(15.058),18.710,30649.0,3861.0,-249.0,-493.0,-15058.0,18710.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,-,120.921,120.921,,,,,120921.0,120921.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.000.863,387.550,1.305.917,8.407,(768.994),1.933.743,1000863.0,387550.0,1305917.0,8407.0,-768994.0,1933743.0
