row_label_raw,row_label_full,col_0,Giá trị ghi số > Nguyên giá VND,Giá trị ghi số > Dự phòng giảm giá trị VND,Giá trị ghi số > Giá trị thuần VND,Giá trị ghi số > Giá trị hợp lý VND,numeric__Giá trị ghi số > Nguyên giá VND,numeric__Giá trị ghi số > Dự phòng giảm giá trị VND,numeric__Giá trị ghi số > Giá trị thuần VND,numeric__Giá trị ghi số > Giá trị hợp lý VND
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,71.989.817.169.234,(927.451.389.901),71.062.365.779.333,78.250.707.417.479,71989817169234.0,-927451389901.0,71062365779333.0,78250707417479.0
- Hợp đồng tiến gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiến gửi có kỳ hạn,- Hợp đồng tiến gửi có kỳ hạn,31.485.592.116.251,(442.600.000.000),31.042.992.116.251,31.290.629.766.821,31485592116251.0,-442600000000.0,31042992116251.0,31290629766821.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,40.504.225.052.983,(484.851.389.901),40.019.373.663.082,46.960.077.650.658,40504225052983.0,-484851389901.0,40019373663082.0,46960077650658.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.648.743.079.467,(297.888.188.831),2.350.854.890.636,3.116.290.259.370,2648743079467.0,-297888188831.0,2350854890636.0,3116290259370.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.533.291.508.690,(203.240.899.012),1.330.050.609.678,2.032.940.766.510,1533291508690.0,-203240899012.0,1330050609678.0,2032940766510.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,766.411.545.643,(94.647.289.819),671.764.255.824,637.667.617.769,766411545643.0,-94647289819.0,671764255824.0,637667617769.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,229.013.065.934,-,229.013.065.934,323.860.300.000,229013065934.0,,229013065934.0,323860300000.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,120.026.959.200,-,120.026.959.200,121.821.575.091,120026959200.0,,120026959200.0,121821575091.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,247.952.379.767,(32.058.951.774),215.893.427.993,402.107.099.197,247952379767.0,-32058951774.0,215893427993.0,402107099197.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,1.636.484.890.248,(101.805.417.015),1.534.679.473.233,1.534.679.473.233,1636484890248.0,-101805417015.0,1534679473233.0,1534679473233.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.467.867.723.614,(243.766.620.259),1.224.101.103.355,1.209.078.168.609,1467867723614.0,-243766620259.0,1224101103355.0,1209078168609.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,885.327.361.154,-,885.327.361.154,882.315.476.671,885327361154.0,,885327361154.0,882315476671.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,2.344.654.814.506,-,2.344.654.814.506,2.344.654.814.506,2344654814506.0,,2344654814506.0,2344654814506.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,572.227.195.726,(51.446.899.929),520.780.295.797,520.780.295.797,572227195726.0,-51446899929.0,520780295797.0,520780295797.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",83.911.466.370,-,83.911.466.370,83.911.466.370,83911466370.0,,83911466370.0,83911466370.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,29.933.160.274,-,29.933.160.274,29.933.160.274,29933160274.0,,29933160274.0,29933160274.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,458.382.569.082,(51.446.899.929),406.935.669.153,406.935.669.153,458382569082.0,-51446899929.0,406935669153.0,406935669153.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.789.197.489.323,-,3.789.197.489.323,3.789.197.489.323,3789197489323.0,,3789197489323.0,3789197489323.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,85.582.272.103.039,(1.654.417.467.709),83.927.854.635.330,92.049.810.494.185,85582272103039.0,-1654417467709.0,83927854635330.0,92049810494185.0
