row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị thuần,Số cuối năm > Dư phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị thuần,Số đầu năm > Dư phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị thuần,numeric__Số cuối năm > Dư phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị thuần,numeric__Số đầu năm > Dư phòng
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,,,
Tổng Công ty Cổ phần Tài bảo hiểm quốc gia Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Cổ phần Tài bảo hiểm quốc gia Việt Nam,Tổng Công ty Cổ phần Tài bảo hiểm quốc gia Việt Nam,307.102.304.928,279.707.160.000,(27.395.144.928),69.901.560.000,69.901.560.000,-,307102304928.0,279707160000.0,-27395144928.0,69901560000.0,69901560000.0,
Công ty Cổ phần Tập đoàn Công nghệ CMC,Cổ phiếu niêm yết > Công ty Cổ phần Tập đoàn Công nghệ CMC,Công ty Cổ phần Tập đoàn Công nghệ CMC,144.000.425.500,98.368.425.500,(45.632.000.000),144.000.168.100,50.880.168.100,(93.120.000.000),144000425500.0,98368425500.0,-45632000000.0,144000168100.0,50880168100.0,-93120000000.0
Công ty Cổ phần FPT,Cổ phiếu niêm yết > Công ty Cổ phần FPT,Công ty Cổ phần FPT,138.399.217.575,138.399.217.575,-,139.554.058.912,139.554.058.912,-,138399217575.0,138399217575.0,,139554058912.0,139554058912.0,
Ngân hàng Thương mại Cổ phần Quản đội,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội,135.014.386.808,135.014.386.808,-,134.300.627.746,134.300.627.746,-,135014386808.0,135014386808.0,,134300627746.0,134300627746.0,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,108.816.099.494,108.816.099.494,-,108.815.502.640,89.590.181.790,(19.225.320.850),108816099494.0,108816099494.0,,108815502640.0,89590181790.0,-19225320850.0
Công ty Cổ phần Tập đoàn Container Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Tập đoàn Container Việt Nam,Công ty Cổ phần Tập đoàn Container Việt Nam,112.585.319.093,94.600.371.220,(17.984.947.873),401.664,401.664,-,112585319093.0,94600371220.0,-17984947873.0,401664.0,401664.0,
Công ty Cổ phần Vimeco,Cổ phiếu niêm yết > Công ty Cổ phần Vimeco,Công ty Cổ phần Vimeco,89.042.120.809,89.042.120.809,-,-,-,-,89042120809.0,89042120809.0,,,,
Công ty Cổ phần Vận tài biến Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Vận tài biến Việt Nam,Công ty Cổ phần Vận tài biến Việt Nam,79.450.010.350,13.440.006.720,(66.010.003.630),79.450.010.350,4.080.002.040,(75.370.008.310),79450010350.0,13440006720.0,-66010003630.0,79450010350.0,4080002040.0,-75370008310.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,418.881.624.133,372.662.821.552,(46.218.802.581),487.457.533.434,436.474.757.279,(50.982.776.155),418881624133.0,372662821552.0,-46218802581.0,487457533434.0,436474757279.0,-50982776155.0
