row_label_raw,row_label_full,col_0,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bất động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bất động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.587.755,185.385,488.821,120.395,501.101,2.883.457,1587755.0,185385.0,488821.0,120395.0,501101.0,2883457.0
Các khoản phải thu từ hoạt động tái bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động tái bảo hiểm,Các khoản phải thu từ hoạt động tái bảo hiểm,-,443.786,-,-,-,443.786,,443786.0,,,,443786.0
Các khoản phải thu từ hoạt động bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,30.130,839.567,-,-,(41),869.656,30130.0,839567.0,,,-41.0,869656.0
Tải sản tài bảo hiểm,TÀI SẢN > Tải sản tài bảo hiểm,Tải sản tài bảo hiểm,-,1.316.288,-,-,-,1.316.288,,1316288.0,,,,1316288.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,2.395.273,287.281,606.562,266.704,(1.017.158),2.538.662,2395273.0,287281.0,606562.0,266704.0,-1017158.0,2538662.0
Đầu tư tài chính,TÀI SẢN > Đầu tư tài chính,Đầu tư tài chính,48.997.883,5.928.208,13.314.523,-,(6.866.174),61.374.440,48997883.0,5928208.0,13314523.0,,-6866174.0,61374440.0
Phải thu về cho vay,TÀI SẢN > Phải thu về cho vay,Phải thu về cho vay,1.111,1.411,853.538,-,63.621,919.681,1111.0,1411.0,853538.0,,63621.0,919681.0
Tải sản cố định hữu hình,TÀI SẢN > Tải sản cố định hữu hình,Tải sản cố định hữu hình,277.889,238.049,172.108,25.016,9.378,722.440,277889.0,238049.0,172108.0,25016.0,9378.0,722440.0
Tải sản cố định vô hình,TÀI SẢN > Tải sản cố định vô hình,Tải sản cố định vô hình,310.957,434.262,59.519,14.640,-,819.378,310957.0,434262.0,59519.0,14640.0,,819378.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,144.352,656.987,176.449,108.944,21.932,1.108.664,144352.0,656987.0,176449.0,108944.0,21932.0,1108664.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,53.745.350,10.331.224,15.671.520,535.699,(7.287.341),72.996.452,53745350.0,10331224.0,15671520.0,535699.0,-7287341.0,72996452.0
Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,,,,,,
Nợ ngắn hạn,Nợ PHẢI TRẢ > Nợ ngắn hạn,Nợ ngắn hạn,12.504.520,2.785.307,834.965,258.005,(152.525),16.230.272,12504520.0,2785307.0,834965.0,258005.0,-152525.0,16230272.0
Nợ dài hạn,Nợ PHẢI TRẢ > Nợ dài hạn,Nợ dài hạn,37.975.669,5.100.609,-,30,3.337,43.079.645,37975669.0,5100609.0,,30.0,3337.0,43079645.0
TỔNG Nợ PHẢI TRẢ,Nợ PHẢI TRẢ > TỔNG Nợ PHẢI TRẢ,TỔNG Nợ PHẢI TRẢ,50.480.189,7.885.916,834.965,258.035,(149.188),59.309.917,50480189.0,7885916.0,834965.0,258035.0,-149188.0,59309917.0
NGUỒN VỐN CHỦ SỞ HỮU,Nợ PHẢI TRẢ > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,3.265.161,2.445.308,14.836.555,277.664,(7.138.153),13.686.535,3265161.0,2445308.0,14836555.0,277664.0,-7138153.0,13686535.0
TỔNG NGUỒN VỐN,Nợ PHẢI TRẢ > TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,53.745.350,10.331.224,15.671.520,535.699,(7.287.341),72.996.452,53745350.0,10331224.0,15671520.0,535699.0,-7287341.0,72996452.0
