row_label_raw,row_label_full,CHỈ TIỀU > Năm bồi thường,Năm tổn thất > 2014 > 1,Năm tổn thất > 2015 > 2,Năm tổn thất > 2016 > 3,Năm tổn thất > 2017 > 4,Năm tổn thất > Tổng số > 5,numeric__Năm tổn thất > 2014 > 1,numeric__Năm tổn thất > 2015 > 2,numeric__Năm tổn thất > 2016 > 3,numeric__Năm tổn thất > 2017 > 4,numeric__Năm tổn thất > Tổng số > 5
I. Số ước tính chỉ bồi thường lũy kế,I. Số ước tính chỉ bồi thường lũy kế,I. Số ước tính chỉ bồi thường lũy kế,,,,,,,,,,
1,I. Số ước tính chỉ bồi thường lũy kế > 1,1,2.185.788,2.253.392,2.434.993,2.954.366,,2185788.0,2253392.0,2434993.0,2954366.0,
2,I. Số ước tính chỉ bồi thường lũy kế > 2,2,2.460.336,2.488.702,2.605.523,,,2460336.0,2488702.0,2605523.0,,
3,I. Số ước tính chỉ bồi thường lũy kế > 3,3,2.554.107,2.463.222,,,,2554107.0,2463222.0,,,
4,I. Số ước tính chỉ bồi thường lũy kế > 4,4,2.525.125,,,,,2525125.0,,,,
Số ước tính chỉ bồi thường lũy kế đến năm hiện tại (1),I. Số ước tính chỉ bồi thường lũy kế > Số ước tính chỉ bồi thường lũy kế đến năm hiện tại (1),Số ước tính chỉ bồi thường lũy kế đến năm hiện tại (1),2.525.125,2.463.222,2.605.523,2.954.366,10.548.236,2525125.0,2463222.0,2605523.0,2954366.0,10548236.0
II. Số đã chi trả bồi thường lũy kế,II. Số đã chi trả bồi thường lũy kế,II. Số đã chi trả bồi thường lũy kế,,,,,,,,,,
1,II. Số đã chi trả bồi thường lũy kế > 1,1,1.853.594,1.866.434,1.992.373,2.424.100,,1853594.0,1866434.0,1992373.0,2424100.0,
2,II. Số đã chi trả bồi thường lũy kế > 2,2,2.321.785,2.407.885,2.364.512,,,2321785.0,2407885.0,2364512.0,,
3,II. Số đã chi trả bồi thường lũy kế > 3,3,2.508.158,2.424.751,,,,2508158.0,2424751.0,,,
4,II. Số đã chi trả bồi thường lũy kế > 4,4,2.512.399,,,,,2512399.0,,,,
Số đã chi trả bồi thường lũy kế đến năm hiện tại (2),II. Số đã chi trả bồi thường lũy kế > Số đã chi trả bồi thường lũy kế đến năm hiện tại (2),Số đã chi trả bồi thường lũy kế đến năm hiện tại (2),2.512.399,2.424.751,2.364.512,2.424.100,9.725.762,2512399.0,2424751.0,2364512.0,2424100.0,9725762.0
III. Tổng dự phòng bồi thường chưa giải quyết (3) = (1) - (2),II. Số đã chi trả bồi thường lũy kế > III. Tổng dự phòng bồi thường chưa giải quyết (3) = (1) - (2),III. Tổng dự phòng bồi thường chưa giải quyết (3) = (1) - (2),12.726,38.471,241.011,530.266,822.474,12726.0,38471.0,241011.0,530266.0,822474.0
IV. Uốc thăng dự hoặc thâm hụt dự phòng bồi thường (4),II. Số đã chi trả bồi thường lũy kế > IV. Uốc thăng dự hoặc thâm hụt dự phòng bồi thường (4),IV. Uốc thăng dự hoặc thâm hụt dự phòng bồi thường (4),(339.337),(209.830),(170.530),-,,-339337.0,-209830.0,-170530.0,,
V. Tỷ lệ % thăng dư/(thâm hụt) dự phòng trên số ước tính chỉ bồi thường (5) = (4)/(1)*100%,V. Tỷ lệ % thăng dư/(thâm hụt) dự phòng trên số ước tính chỉ bồi thường (5) = (4)/(1)*100%,V. Tỷ lệ % thăng dư/(thâm hụt) dự phòng trên số ước tính chỉ bồi thường (5) = (4)/(1)*100%,(13%),(9%),(7%),-,,,,,,
