row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty Cổ phần Địa ốc Sacom,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Tạm ứng đề mua Khu dân cư Bình Thắng,-,20.500.000.000,,,,20500000000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Công ty Cổ phần Sacom - Tuyền Lâm,Phải trả ngắn hạn khác > Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,Lãi vay,6.687.872.760,10.010.809.722,,,6687872760.0,10010809722.0
Công ty Cổ phần Địa ốc Sacom,Phải trả ngắn hạn khác > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Lãi vayChi hộ,5.236.875.000235.727.399,10.380.625.000-,,,5.236875000235728e+18,
Công ty Cổ phần Dây và Cáp Sacom,Phải trả ngắn hạn khác > Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Lãi vay,467.191.781,1.895.163.334,,,467191781.0,1895163334.0
TỔNG CỘNG,Phải trả ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,,12.627.666.940,22.286.598.056,,,12627666940.0,22286598056.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty Cổ phần Địa ốc Sacom,Vay ngắn hạn > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Vay,81.000.000.000,170.000.000.000,,,81000000000.0,170000000000.0
Công ty Cổ phần Dây và Cáp Sacom,Vay ngắn hạn > Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Vay,31.000.000.000,18.532.500.000,,,31000000000.0,18532500000.0
Công ty Cổ phần Sacom - Tuyền Lâm,Vay ngắn hạn > Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,Vay,-,430.700.000.000,,,,430700000000.0
Công ty Cổ phần Bất động sản Hiệp Phú,Vay ngắn hạn > Công ty Cổ phần Bất động sản Hiệp Phú,Công ty Cổ phần Bất động sản Hiệp Phú,Công ty liên kết,Vay,-,61.883.657.371,,,,61883657371.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,112.000.000.000,681.116.157.371,,,112000000000.0,681116157371.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Công ty Cổ phần Sacom - Tuyền Lâm,Vay dài hạn > Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,Vay,244.179.000.000,-,,,244179000000.0,
