row_label_raw,row_label_full,col_0,Số liệu theo báo cáo trước đây,Phân loại,Số liệu sau phân loại lại,numeric__Số liệu theo báo cáo trước đây,numeric__Phân loại,numeric__Số liệu sau phân loại lại
BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,,,
Phải thu ngắn hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,108.203.636.005,(70.000.000.000),38.203.636.005,108203636005.0,-70000000000.0,38203636005.0
Chi phí trả trước ngắn hạn,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,-,300.000.000,300.000.000,,300000000.0,300000000.0
Phải thu dài hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Phải thu dài hạn khác,Phải thu dài hạn khác,-,120.000.000.000,120.000.000.000,,120000000000.0,120000000000.0
Đầu tư góp vốn vào đơn vị khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,66.500.000.000,(50.000.000.000),16.500.000.000,66500000000.0,-50000000000.0,16500000000.0
Chi phí trả trước dài hạn,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,1.702.000.249,(300.000.000),1.402.000.249,1702000249.0,-300000000.0,1402000249.0
Phải trả ngắn hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,31.184.380.133,(7.000.000.000),24.184.380.133,31184380133.0,-7000000000.0,24184380133.0
Vay ngắn hạn,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Vay ngắn hạn,Vay ngắn hạn,681.116.157.371,7.000.000.000,688.116.157.371,681116157371.0,7000000000.0,688116157371.0
,,,Số liệu theo báo cáo trước đây,Phân loại,VND Số liệu sau phân loại lại,,,
BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG,,,
