row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty liên kết,Tên công ty liên kết,Tên công ty liên kết,Lĩnh vực kinh doanh,Tỷ lệ sở hữu (%),Giá gốc đầu tư VND,Tỷ lệ sở hữu (%),Giá gốc đầu tư VND,,,,,
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (i),Tên công ty liên kết > Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (i),Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (i),Kinh doanh dịch vụ du lịch,"29,06%",425.384.970.000,"28,98%",423.975.972.000,,0.29059999999999997,425384970000.0,0.2898,423975972000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Tên công ty liên kết > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Phát triển hạ tầng,"45,00%",155.500.000.000,"45,00%",155.500.000.000,,0.45,155500000000.0,0.45,155500000000.0
Công ty Cổ phần Vật liệu điện và Viễn thông Sam Cường,Tên công ty liên kết > Công ty Cổ phần Vật liệu điện và Viễn thông Sam Cường,Công ty Cổ phần Vật liệu điện và Viễn thông Sam Cường,"Sản xuất thiết bị, vật liệu điện, viễn thông","33,74%",17.409.996.000,"32,54%",16.497.196.000,,0.33740000000000003,17409996000.0,0.32539999999999997,16497196000.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Tên công ty liên kết > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,"Trồng trọt, chăn nuôi, chế biến và kinh doanh nông sản","48,00%",16.000.000.000,-,-,,0.48,16000000000.0,,
Công ty Cổ phần Capella Việt Nam,Tên công ty liên kết > Công ty Cổ phần Capella Việt Nam,Công ty Cổ phần Capella Việt Nam,Tổ chức sự kiện và quảng cáo,"31,48%",3.148.000.000,-,-,,0.3148,3148000000.0,,
Công ty Cổ phần Bất động sản Hiệp Phú (ii),Tên công ty liên kết > Công ty Cổ phần Bất động sản Hiệp Phú (ii),Công ty Cổ phần Bất động sản Hiệp Phú (ii),Kinh doanh bất động sản,-,-,"40,00%",176.185.000.000,,,,0.4,176185000000.0
Công ty Cổ phần Nhựa Sam Phú,Tên công ty liên kết > Công ty Cổ phần Nhựa Sam Phú,Công ty Cổ phần Nhựa Sam Phú,Sản xuất nhựa,-,-,"25,10%",5.947.842.060,,,,0.251,5947842060.0
TỔNG CỘNG,Tên công ty liên kết > TỔNG CỘNG,TỔNG CỘNG,,,617.442.966.000,,778.106.010.060,,,617442966000.0,,778106010060.0
Dự phòng đầu tư tài chính dài hạn,Tên công ty liên kết > Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,,,(5.535.179.166),,(6.134.003.526),,,-5535179166.0,,-6134003526.0
GIÁ TRỊ THUÀN,Tên công ty liên kết > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,611.907.786.834,,771.972.006.534,,,611907786834.0,,771972006534.0
