row_label_raw,row_label_full,Cho vay các bên liên quan (Thuyết minh số 26),(i),Số cuối năm > 11.400.000.000,VND Số đầu năm > 11.800.000.000,numeric__(i),numeric__Số cuối năm > 11.400.000.000,numeric__VND Số đầu năm > 11.800.000.000
Cho vay bên khác,Cho vay bên khác,Cho vay bên khác,(ii),300.000.000,-,,300000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,11.700.000.000,11.800.000.000,,11700000000.0,11800000000.0
