row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,,29.593.987.546,32.127.949.932,,,29593987546.0,32127949932.0
02,02,02,Khấu hao và hao mòn tài sản cố định,"9, 10",1.683.672.248,1.432.623.587,,,1683672248.0,1432623587.0
03,03,03,Các khoản dự phòng,,102.586.396.854,24.976.882.641,,,102586396854.0,24976882641.0
05,05,05,Lãi từ hoạt động đầu tư,,(131.693.103.095),(112.463.137.191),,,-131693103095.0,-112463137191.0
06,06,06,Chi phí lãi vay,23,87.643.819.372,38.507.234.157,,23.0,87643819372.0,38507234157.0
08,08,08,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu động,,89.814.772.925,(15.418.446.874),,,89814772925.0,-15418446874.0
09,09,09,Giảm các khoản phải thu,,20.964.316.161,154.478.080.095,,,20964316161.0,154478080095.0
11,11,11,Giảm các khoản phải trả,,(12.761.932.113),(15.387.699.859),,,-12761932113.0,-15387699859.0
12,12,12,Tăng chi phí trả trước,,(1.636.404.427),(781.218.431),,,-1636404427.0,-781218431.0
13,13,13,Tăng chứng khoán kinh doanh,,(364.085.411.885),(199.342.282.103),,,-364085411885.0,-199342282103.0
14,14,14,Tiền lãi vay đã trả,,(85.683.118.594),(16.220.636.101),,,-85683118594.0,-16220636101.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(349.050.000),(296.650.000),,,-349050000.0,-296650000.0
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(353.736.827.933),(92.968.853.273),,,-353736827933.0,-92968853273.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,Tiền chi để mua sắm tài sản cố định,,-,(1.500.840.663),,,,-1500840663.0
23,23,23,Tiền chi cho vay,,(300.000.000),(6.500.000.000),,,-300000000.0,-6500000000.0
24,24,24,Tiền thu hồi cho vay,,400.000.000,2.700.000.000,,,400000000.0,2700000000.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(204.148.000.000),(621.780.868.000),,,-204148000000.0,-621780868000.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,240.364.652.500,174.056.283.340,,,240364652500.0,174056283340.0
27,27,27,"Tiền thu lãi cho vay, cổ tức được chia",,76.399.496.902,39.393.849.885,,,76399496902.0,39393849885.0
30,30,30,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động đầu tư,,112.716.149.402,(413.631.575.438),,,112716149402.0,-413631575438.0
