row_label_raw,row_label_full,Ông Trần Anh Vương,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Phương Thành Long,Ông Phương Thành Long,Ông Phương Thành Long,Phó Tổng Giám đốc,bổ nhiệm ngày 12 tháng 3 năm 2018,,
Ông Hà Hoàng Thế Quang,Ông Hà Hoàng Thế Quang,Ông Hà Hoàng Thế Quang,Phó Tổng Giám đốc,từ nhiệm ngày 12 tháng 3 năm 2018,,
Ông Phạm Ngọc Tùng,Ông Phạm Ngọc Tùng,Ông Phạm Ngọc Tùng,Phó Tổng Giám đốc,từ nhiệm ngày 12 tháng 3 năm 2018,,
,,,,bổ nhiệm ngày 20 tháng 2 năm 2017,,
Ông Đỗ Thanh Bình,Ông Đỗ Thanh Bình,Ông Đỗ Thanh Bình,Phó Tổng Giám đốc,từ nhiệm ngày 1 tháng 4 năm 2017,,
