row_label_raw,row_label_full,Bên liên quan trả tiền trước(Thuyết minh số 26),Số cuối năm > -,VND Số đầu năm > 20.500.000.000,numeric__Số cuối năm > -,numeric__VND Số đầu năm > 20.500.000.000
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,-,106.495.400,,106495400.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,-,20.606.495.400,,20606495400.0
