row_label_raw,row_label_full,Bên cho vay,Số cuối năm(VND),Kỳ hạn trả gốc,Lãi suất(%/năm),Hình thức bảo đảm,numeric__Số cuối năm(VND),numeric__Kỳ hạn trả gốc,numeric__Lãi suất(%/năm),numeric__Hình thức bảo đảm
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,,,,
Hợp đồng vay số 02/2016/SACOM/HĐVV,Công ty Cổ phần Địa ốc Sacom > Hợp đồng vay số 02/2016/SACOM/HĐVV,Hợp đồng vay số 02/2016/SACOM/HĐVV,45.000.000.000,Ngày 30 tháng 6 năm 2018,"9,5%",Tín chấp,45000000000.0,,0.095,
Hợp đồng vay số 01/2016/SACOM/HĐVV,Công ty Cổ phần Địa ốc Sacom > Hợp đồng vay số 01/2016/SACOM/HĐVV,Hợp đồng vay số 01/2016/SACOM/HĐVV,18.000.000.000,Ngày 30 tháng 6 năm 2018,"9,5%",Tín chấp,18000000000.0,,0.095,
Hợp đồng vay số 03/2016/SACOM/HĐVV,Công ty Cổ phần Địa ốc Sacom > Hợp đồng vay số 03/2016/SACOM/HĐVV,Hợp đồng vay số 03/2016/SACOM/HĐVV,18.000.000.000,Ngày 30 tháng 6 năm 2018,"9,5%",Tín chấp,18000000000.0,,0.095,
,,,81.000.000.000,,,,81000000000.0,,,
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,,,,
Hợp đồng vay số 18/2017/SDC-SACOM/HĐVV,Công ty Cổ phần Dây và Cáp Sacom > Hợp đồng vay số 18/2017/SDC-SACOM/HĐVV,Hợp đồng vay số 18/2017/SDC-SACOM/HĐVV,31.000.000.000,Ngày 10 tháng 4 năm 2018,"9,5%",Tín chấp,31000000000.0,,0.095,
TỔNG CỘNG,Công ty Cổ phần Dây và Cáp Sacom > TỔNG CỘNG,TỔNG CỘNG,112.000.000.000,,,,112000000000.0,,,
