row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Cổ tức Chi hộ,24.975.000.000-,21.478.500.000 2.581.800,,,,
Thành viên Ban Tổng Giám đốc,Công ty Cổ phần Dây và Cáp Sacom > Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Bên liên quan,Tạm ứng,2.427.811.059,-,,,2427811059.0,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Dây và Cáp Sacom > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,Lãi cho vay,631.222.222,-,,,631222222.0,
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Dây và Cáp Sacom > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty liên kết,Chi hộ,210.748.930,-,,,210748930.0,
Công ty TNHH Sacom Chíp Sáng,Công ty Cổ phần Dây và Cáp Sacom > Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty con,Lãi cho vay,117.478.888,162.192.324,,,117478888.0,162192324.0
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Cổ tức Chi hộ,-,13.790.494.764 3.352.650,,,,
TỔNG CỘNG,Công ty Cổ phần Địa ốc Sacom > TỔNG CỘNG,TỔNG CỘNG,,,28.362.261.099,35.437.121.538,,,28362261099.0,35437121538.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Công ty Cổ phần Địa ốc Sacom,Phải thu dài hạn khác > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Góp vốn trong HĐHTĐT,50.000.000.000,50.000.000.000,,,50000000000.0,50000000000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Dây và Cáp Sacom,Phải trả người bán ngắn hạn > Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Mua thành phẩm,10.241.337.600,-,,,10241337600.0,
Công ty Cổ phần Địa ốc Sacom,Phải trả người bán ngắn hạn > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Dịch vụ bảo trì,-,71.500.000,,,,71500000.0
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,10.241.337.600,71.500.000,,,10241337600.0,71500000.0
