row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số dư đầu năm và cuối năm,Nguyên giá: > Số dư đầu năm và cuối năm,Số dư đầu năm và cuối năm,27.192.968.976,1.084.290.000,2.654.682.718,1.369.142.480,32.301.084.174,27192968976.0,1084290000.0,2654682718.0,1369142480.0,32301084174.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,11.906.769.352,-,2.654.682.718,1.369.142.480,15.930.594.550,11906769352.0,,2654682718.0,1369142480.0,15930594550.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,(15.800.130.652),(166.752.661),(2.654.682.718),(1.369.142.480),(19.990.708.511),-15800130652.0,-166752661.0,-2654682718.0,-1369142480.0,-19990708511.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.265.870.928),(185.191.320),-,-,(1.451.062.248),-1265870928.0,-185191320.0,,,-1451062248.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,(17.066.001.580),(351.943.981),(2.654.682.718),(1.369.142.480),(21.441.770.759),-17066001580.0,-351943981.0,-2654682718.0,-1369142480.0,-21441770759.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,11.392.838.324,917.537.339,-,-,12.310.375.663,11392838324.0,917537339.0,,,12310375663.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,10.126.967.396,732.346.019,-,-,10.859.313.415,10126967396.0,732346019.0,,,10859313415.0
