row_label_raw,row_label_full,Ông Nguyễn Văn Nguyên,Trường Ban,col_2,numeric__Trường Ban,numeric__col_2
Ông Nguyễn Minh Hà,Ông Nguyễn Minh Hà,Ông Nguyễn Minh Hà,Thành viên,từ nhiệm ngày 12 tháng 2 năm 2018,,
Bà Vũ Thị Thanh Thủy,Bà Vũ Thị Thanh Thủy,Bà Vũ Thị Thanh Thủy,Thành viên,bố nhiệm ngày 24 tháng 4 năm 2017,,
Bà Đình Thị Hoài Bắc,Bà Đình Thị Hoài Bắc,Bà Đình Thị Hoài Bắc,Thành viên,miễn nhiệm ngày 24 tháng 4 năm 2017,,
