row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,1.802.353.360.000,406.943.449.943,150.829.313.956,50.228.087.853,2.410.354.211.752,1802353360000.0,406943449943.0,150829313956.0,50228087853.0,2410354211752.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,32.127.949.932,32.127.949.932,,,,32127949932.0,32127949932.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(350.000.000),(350.000.000),,,,-350000000.0,-350000000.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,1.802.353.360.000,406.943.449.943,150.829.313.956,82.006.037.785,2.442.132.161.684,1802353360000.0,406943449943.0,150829313956.0,82006037785.0,2442132161684.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,1.802.353.360.000,406.943.449.943,150.829.313.956,82.006.037.785,2.442.132.161.684,1802353360000.0,406943449943.0,150829313956.0,82006037785.0,2442132161684.0
Tăng vốn cổ phần (*),Năm nay > Tăng vốn cổ phần (*),Tăng vốn cổ phần (*),615.503.670.000,(406.943.449.943),(150.686.343.956),(57.873.876.101),-,615503670000.0,-406943449943.0,-150686343956.0,-57873876101.0,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,29.981.967.835,29.981.967.835,,,,29981967835.0,29981967835.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(746.440.000),(746.440.000),,,,-746440000.0,-746440000.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,2.417.857.030.000,-,142.970.000,53.367.689.519,2.471.367.689.519,2417857030000.0,,142970000.0,53367689519.0,2471367689519.0
