row_label_raw,row_label_full,Hợp đồng số 335/2016/SAM-ANVIET/HĐVV,6.500.000.000,"9,5%",Tín chấp,numeric__6.500.000.000,"numeric__9,5%",numeric__Tín chấp
Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,,,
Hợp đồng số 84/2013/SAM-SCS/HĐVV,Công ty TNHH Sacom Chíp Sáng > Hợp đồng số 84/2013/SAM-SCS/HĐVV,Hợp đồng số 84/2013/SAM-SCS/HĐVV,4.000.000.000,"9,2%",Tín chấp,4000000000.0,0.092,
Hợp đồng số 05/2013/SAM-SCS/HĐVV,Công ty TNHH Sacom Chíp Sáng > Hợp đồng số 05/2013/SAM-SCS/HĐVV,Hợp đồng số 05/2013/SAM-SCS/HĐVV,900.000.000,"9,2%",Tín chấp,900000000.0,0.092,
,,,4.900.000.000,,,4900000000.0,,
TỔNG CỘNG,Công ty TNHH Sacom Chíp Sáng > TỔNG CỘNG,TỔNG CỘNG,11.400.000.000,,,11400000000.0,,
