row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Đặt cọc nhận chuyển nhượng cổ phần,Ngắn hạn > Đặt cọc nhận chuyển nhượng cổ phần,Đặt cọc nhận chuyển nhượng cổ phần,185.000.000.000,-,185000000000.0,
Phải thu từ chuyển nhượng vốn,Ngắn hạn > Phải thu từ chuyển nhượng vốn,Phải thu từ chuyển nhượng vốn,106.935.347.500,-,106935347500.0,
"Vốn góp của hợp đồng hợp tác đầu tư (""HĐHTĐT"") (i)","Ngắn hạn > Vốn góp của hợp đồng hợp tác đầu tư (""HĐHTĐT"") (i)","Vốn góp của hợp đồng hợp tác đầu tư (""HĐHTĐT"") (i)",50.000.000.000,-,50000000000.0,
Cổ tức phải thu,Ngắn hạn > Cổ tức phải thu,Cổ tức phải thu,24.975.000.000,35.268.994.764,24975000000.0,35268994764.0
Tạm ứng nhân viên,Ngắn hạn > Tạm ứng nhân viên,Tạm ứng nhân viên,2.468.066.059,1.645.580.992,2468066059.0,1645580992.0
Khác,Ngắn hạn > Khác,Khác,1.100.340.786,1.289.060.249,1100340786.0,1289060249.0
,,,370.478.754.345,38.203.636.005,370478754345.0,38203636005.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vốn góp HĐHTĐT (ii),Dài hạn > Vốn góp HĐHTĐT (ii),Vốn góp HĐHTĐT (ii),120.000.000.000,120.000.000.000,120000000000.0,120000000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,490.478.754.345,158.203.636.005,490478754345.0,158203636005.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên liên quan(Thuyết minh số 26),Trong đó: > Phải thu các bên liên quan(Thuyết minh số 26),Phải thu các bên liên quan(Thuyết minh số 26),78.362.261.099,85.437.121.538,78362261099.0,85437121538.0
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,412.116.493.246,72.766.514.467,412116493246.0,72766514467.0
