row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2017 > % vốnsở hữu vàquyềnbiểu quyết,Ngày 31 tháng 12 năm 2017 > Giá gốcVND,Ngày 31 tháng 12 năm 2017 > Giá trịhợp lýVND,Ngày 31 tháng 12 năm 2017 > Dự phònggiảm giáVND,Ngày 1 tháng 1 năm 2017 > % vốnsở hữu vàquyền biểu quyết,Ngày 1 tháng 1 năm 2017 > Giá gốcVND,Ngày 1 tháng 1 năm 2017 > Giá trịhợp lýVND,Ngày 1 tháng 1 năm 2017 > Dự phònggiảm giáVND,numeric__Ngày 31 tháng 12 năm 2017 > % vốnsở hữu vàquyềnbiểu quyết,numeric__Ngày 31 tháng 12 năm 2017 > Giá gốcVND,numeric__Ngày 31 tháng 12 năm 2017 > Giá trịhợp lýVND,numeric__Ngày 31 tháng 12 năm 2017 > Dự phònggiảm giáVND,numeric__Ngày 1 tháng 1 năm 2017 > % vốnsở hữu vàquyền biểu quyết,numeric__Ngày 1 tháng 1 năm 2017 > Giá gốcVND,numeric__Ngày 1 tháng 1 năm 2017 > Giá trịhợp lýVND,numeric__Ngày 1 tháng 1 năm 2017 > Dự phònggiảm giáVND
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,,,,,,,,
▪ Miraka Limited,Đầu tư vào các công ty liên kết > ▪ Miraka Limited,▪ Miraka Limited,"22,81%",293.189.808.669,(*),-,"22,81%",293.189.808.669,(*),-,0.2281,293189808669.0,,,0.2281,293189808669.0,,
▪ Công ty Cổ phần APIS (**),Đầu tư vào các công ty liên kết > ▪ Công ty Cổ phần APIS (**),▪ Công ty Cổ phần APIS (**),"18,00%",8.100.000.000,(*),-,"18,00%",8.100.000.000,(*),-,0.18,8100000000.0,,,0.18,8100000000.0,,
▪ Công ty Cổ phần Chế biến DừaÁ Châu,Đầu tư vào các công ty liên kết > ▪ Công ty Cổ phần Chế biến DừaÁ Châu,▪ Công ty Cổ phần Chế biến DừaÁ Châu,"25,00%",86.830.000.000,(*),-,-,-,,-,0.25,86830000000.0,,,,,,
▪ Công ty Cổ phần Nguyên liệuThực phẩm Á Châu Sài Gòn (***),Đầu tư vào các công ty liên kết > ▪ Công ty Cổ phần Nguyên liệuThực phẩm Á Châu Sài Gòn (***),▪ Công ty Cổ phần Nguyên liệuThực phẩm Á Châu Sài Gòn (***),"14,71%",-,,-,"14,71%",18.000.000.000,(*),-,0.1471,,,,0.1471,18000000000.0,,
,,,,388.119.808.669,,-,,319.289.808.669,,-,,388119808669.0,,,,319289808669.0,,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,,,
▪ Công ty Cổ phần Nguyên liệuThực phẩm Á Châu Sài Gòn,Đầu tư góp vốn vào đơn vị khác > ▪ Công ty Cổ phần Nguyên liệuThực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệuThực phẩm Á Châu Sài Gòn,,18.000.000.000,(*),-,,-,,-,,18000000000.0,,,,,,
▪ Quỹ đầu tư tăng trưởng Việt Nam,Đầu tư góp vốn vào đơn vị khác > ▪ Quỹ đầu tư tăng trưởng Việt Nam,▪ Quỹ đầu tư tăng trưởng Việt Nam,,10.270.276.240,(*),(7.501.517.042),,10.270.276.240,(*),(7.490.301.769),,10270276240.0,,-7501517042.0,,10270276240.0,,-7490301769.0
▪ Nhà thuốc – Phòng khám đa khoaAn Khang,Đầu tư góp vốn vào đơn vị khác > ▪ Nhà thuốc – Phòng khám đa khoaAn Khang,▪ Nhà thuốc – Phòng khám đa khoaAn Khang,,300.000.000,(*),-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
,,,,28.570.276.240,,(7.501.517.042),,10.570.276.240,,(7.490.301.769),,28570276240.0,,-7501517042.0,,10570276240.0,,-7490301769.0
,,,,5.374.182.156.065,,(15.325.809.878),,3.456.670.908.031,,(30.251.623.753),,5374182156065.0,,-15325809878.0,,3456670908031.0,,-30251623753.0
