row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Cơ sở hạ tầng VND,Nhà cửa VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Cơ sở hạ tầng VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,82.224.238.170,6.464.218.561,87.584.055.107,176.272.511.838,82224238170.0,6464218561.0,87584055107.0,176272511838.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,131.563.636,131.563.636,,,131563636.0,131563636.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,-,6.954.545.455,6.954.545.455,,,6954545455.0,6954545455.0
Tăng do sáp nhập công ty con (Thuyết minh VII.3),Nguyên giá > Tăng do sáp nhập công ty con (Thuyết minh VII.3),Tăng do sáp nhập công ty con (Thuyết minh VII.3),-,-,3.405.538.719,3.405.538.719,,,3405538719.0,3405538719.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(43.339.950.000),-,(83.371.480),(43.423.321.480),-43339950000.0,,-83371480.0,-43423321480.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,38.884.288.170,6.464.218.561,97.992.331.437,143.340.838.168,38884288170.0,6464218561.0,97992331437.0,143340838168.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.645.189.674,4.575.569.937,34.156.336.949,41.377.096.560,2645189674.0,4575569937.0,34156336949.0,41377096560.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,793.556.901,611.364.017,3.930.077.375,5.334.998.293,793556901.0,611364017.0,3930077375.0,5334998293.0
Tăng do sáp nhập công ty con (Thuyết minh VII.3),Giá trị hao mòn lũy kế > Tăng do sáp nhập công ty con (Thuyết minh VII.3),Tăng do sáp nhập công ty con (Thuyết minh VII.3),-,-,1.422.169.969,1.422.169.969,,,1422169969.0,1422169969.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(66.697.182),(66.697.182),,,-66697182.0,-66697182.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.438.746.575,5.186.933.954,39.441.887.111,48.067.567.640,3438746575.0,5186933954.0,39441887111.0,48067567640.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,79.579.048.496,1.888.648.624,53.427.718.158,134.895.415.278,79579048496.0,1888648624.0,53427718158.0,134895415278.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,35.445.541.595,1.277.284.607,58.550.444.326,95.273.270.528,35445541595.0,1277284607.0,58550444326.0,95273270528.0
