row_label_raw,row_label_full,Tên,Trụ sở,Hoạt động chính,Tỷ lệ góp vốn/quyền biểu quyết,numeric__Trụ sở,numeric__Hoạt động chính,numeric__Tỷ lệ góp vốn/quyền biểu quyết
Miraka Limited,Miraka Limited,Miraka Limited,"108 Tuwharetoa, Taupo, New Zealand",Sản xuất sữa,"22,81%",,,0.2281
Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty Cổ phần APIS,"Số 18A, VSIP II-A, đường 27, Khu công nghiệp Việt Nam – Singapore II-A, Phường Vĩnh Tân, Huyện Tân Uyên, Tỉnh Bình Dương",Kinh doanh nguyên liệu thực phẩm,"18,00%",,,0.18
Công ty Cổ phần Chế biển Dừa Á Châu (*),Công ty Cổ phần Chế biển Dừa Á Châu (*),Công ty Cổ phần Chế biển Dừa Á Châu (*),"Khu công nghiệp Giao Long, Giai Đoàn II, Xã An Phước, Huyện Châu Thành, Tỉnh Bến Tre, Việt Nam",Sản xuất và kinh doanh các mặt hàng từ dừa,"25,00%",,,0.25
