row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Biến động trong năm > Tăng,Biến động trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Biến động trong năm > Tăng,numeric__Biến động trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
- Ngân hàng of Tokyo-Mitsubishi UFJ,Vay ngắn hạn > - Ngân hàng of Tokyo-Mitsubishi UFJ,- Ngân hàng of Tokyo-Mitsubishi UFJ,100.000.000.000,100.000.000.000,610.000.000.000,710.000.000.000,-,-,100000000000.0,100000000000.0,610000000000.0,710000000000.0,,
- Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,Vay ngắn hạn > - Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,- Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,1.100.000.000.000,1.100.000.000.000,-,1.100.000.000.000,-,-,1100000000000.0,1100000000000.0,,1100000000000.0,,
- Ngân hàng Sumitomo Mitsui,Vay ngắn hạn > - Ngân hàng Sumitomo Mitsui,- Ngân hàng Sumitomo Mitsui,-,-,590.000.000.000,590.000.000.000,-,-,,,590000000000.0,590000000000.0,,
Cộng,Vay ngắn hạn > Cộng,Cộng,1.200.000.000.000,1.200.000.000.000,1.200.000.000.000,2.400.000.000.000,-,-,1200000000000.0,1200000000000.0,1200000000000.0,2400000000000.0,,
