row_label_raw,row_label_full,col_0,Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc_1,numeric__Dự phòng trợ cấp thời việc,numeric__Dự phòng trợ cấp thời việc_1
,,,2017VND,2016VND,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,95.736.043.500,87.099.730.000,95736043500.0,87099730000.0
Trích lập dự phòng trong năm,Trích lập dự phòng trong năm,Trích lập dự phòng trong năm,6.934.784.666,10.053.842.830,6934784666.0,10053842830.0
Tăng do sáp nhập công ty con (Thuyết minh VII.3),Tăng do sáp nhập công ty con (Thuyết minh VII.3),Tăng do sáp nhập công ty con (Thuyết minh VII.3),224.541.667,-,224541667.0,
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(2.241.083.583),(1.417.529.330),-2241083583.0,-1417529330.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,100.654.286.250,95.736.043.500,100654286250.0,95736043500.0
