row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.874.808.408.282,7.723.118.615.206,685.293.138.056,465.186.272.047,10.748.406.433.591,1874808408282.0,7723118615206.0,685293138056.0,465186272047.0,10748406433591.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,11.623.127.150,96.236.019.031,64.883.920.494,21.926.275.473,194.669.342.148,11623127150.0,96236019031.0,64883920494.0,21926275473.0,194669342148.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,55.058.022.405,1.145.230.193.534,45.673.166.397,12.367.955.332,1.258.329.337.668,55058022405.0,1145230193534.0,45673166397.0,12367955332.0,1258329337668.0
Tăng do sáp nhập công ty con(Thuyết minh VII.3),Nguyên giá > Tăng do sáp nhập công ty con(Thuyết minh VII.3),Tăng do sáp nhập công ty con(Thuyết minh VII.3),132.983.404.491,419.349.543.061,9.044.111.866,13.578.191.938,574.955.251.356,132983404491.0,419349543061.0,9044111866.0,13578191938.0,574955251356.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,15.453.448.237,-,(15.453.448.237),-,,15453448237.0,,-15453448237.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.275.227.074),(187.646.477.473),(15.369.852.459),(2.927.869.909),(211.219.426.915),-5275227074.0,-187646477473.0,-15369852459.0,-2927869909.0,-211219426915.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.069.197.735.254,9.211.741.341.596,789.524.484.354,494.677.376.644,12.565.140.937.848,2069197735254.0,9211741341596.0,789524484354.0,494677376644.0,12565140937848.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,521.040.262.598,3.975.803.331.387,307.716.056.511,331.550.412.720,5.136.110.063.216,521040262598.0,3975803331387.0,307716056511.0,331550412720.0,5136110063216.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,91.268.745.997,753.368.409.944,65.686.140.006,49.875.984.037,960.199.279.984,91268745997.0,753368409944.0,65686140006.0,49875984037.0,960199279984.0
Tăng do sáp nhập công ty con(Thuyết minh VII.3),Giá trị hao mòn lũy kế > Tăng do sáp nhập công ty con(Thuyết minh VII.3),Tăng do sáp nhập công ty con(Thuyết minh VII.3),14.300.061.318,111.077.679.861,2.629.925.801,5.786.742.523,133.794.409.503,14300061318.0,111077679861.0,2629925801.0,5786742523.0,133794409503.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,8.785.457.615,-,(8.785.457.615),-,,8785457615.0,,-8785457615.0,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(2.942.811.245),(136.801.969.427),(13.340.694.271),(2.922.182.409),(156.007.657.352),-2942811245.0,-136801969427.0,-13340694271.0,-2922182409.0,-156007657352.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,623.666.258.668,4.712.232.909.380,362.691.428.047,375.505.499.256,6.074.096.095.351,623666258668.0,4712232909380.0,362691428047.0,375505499256.0,6074096095351.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.353.768.145.684,3.747.315.283.819,377.577.081.545,133.635.859.327,5.612.296.370.375,1353768145684.0,3747315283819.0,377577081545.0,133635859327.0,5612296370375.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.445.531.476.586,4.499.508.432.216,426.833.056.307,119.171.877.388,6.491.044.842.497,1445531476586.0,4499508432216.0,426833056307.0,119171877388.0,6491044842497.0
