row_label_raw,row_label_full,col_0,Giá trị ghi số trước khi sáp nhập VND,Điều chỉnh VND,Giá trị hợp lý được ghi nhận khi sáp nhập VND,numeric__Giá trị ghi số trước khi sáp nhập VND,numeric__Điều chỉnh VND,numeric__Giá trị hợp lý được ghi nhận khi sáp nhập VND
Tiền gửi ngân hàng,Tiền gửi ngân hàng,Tiền gửi ngân hàng,273.192.164.317,-,273.192.164.317,273192164317.0,,273192164317.0
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,2.132.333.210,-,2.132.333.210,2132333210.0,,2132333210.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,190.755.240,-,190.755.240,190755240.0,,190755240.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,149.229.960,-,149.229.960,149229960.0,,149229960.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,108.372.678.775,-,108.372.678.775,108372678775.0,,108372678775.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,4.517.210.588,-,4.517.210.588,4517210588.0,,4517210588.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,75.000.000,-,75.000.000,75000000.0,,75000000.0
Giá trị còn lại của tài sản cố định,Giá trị còn lại của tài sản cố định,Giá trị còn lại của tài sản cố định,441.160.841.853,-,441.160.841.853,441160841853.0,,441160841853.0
Giá trị còn lại của bất động sản đầu tư,Giá trị còn lại của bất động sản đầu tư,Giá trị còn lại của bất động sản đầu tư,1.983.368.750,-,1.983.368.750,1983368750.0,,1983368750.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,295.492.565,-,295.492.565,295492565.0,,295492565.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,535.684.103,-,535.684.103,535684103.0,,535684103.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(15.073.662.484),-,(15.073.662.484),-15073662484.0,,-15073662484.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(10.509.016.255),-,(10.509.016.255),-10509016255.0,,-10509016255.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,(1.530.984.833),-,(1.530.984.833),-1530984833.0,,-1530984833.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,(1.078.468.502),-,(1.078.468.502),-1078468502.0,,-1078468502.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,(519.760.000),-,(519.760.000),-519760000.0,,-519760000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(310.884.935),-,(310.884.935),-310884935.0,,-310884935.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,(1.663.272.218),-,(1.663.272.218),-1663272218.0,,-1663272218.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,(224.541.667),-,(224.541.667),-224541667.0,,-224541667.0
Tài sản thuần mang sang,Tài sản thuần mang sang,Tài sản thuần mang sang,801.694.168.467,-,801.694.168.467,801694168467.0,,801694168467.0
Giá trị ghi sổ của khoản đầu tư vào LSM,Giá trị ghi sổ của khoản đầu tư vào LSM,Giá trị ghi sổ của khoản đầu tư vào LSM,370.800.000.000,-,370.800.000.000,370800000000.0,,370800000000.0
Lãi do sáp nhập (*),Lãi do sáp nhập (*),Lãi do sáp nhập (*),430.894.168.467,-,430.894.168.467,430894168467.0,,430894168467.0
