row_label_raw,row_label_full,Lợi nhuận trước thuếĐiều chỉnh cho các khoản,01,col_2,12.496.851.735.222,11.066.936.634.605,numeric__01,numeric__col_2,numeric__12.496.851.735.222,numeric__11.066.936.634.605
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,02,,981.369.357.048,898.148.802.451,2.0,,981369357048.0,898148802451.0
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,03,,(7.551.241.220),(52.422.845.107),3.0,,-7551241220.0,-52422845107.0
Lỗ/(lãi) chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệcó gốc ngoại tệ,Lỗ/(lãi) chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệcó gốc ngoại tệ,Lỗ/(lãi) chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệcó gốc ngoại tệ,04,,3.716.375.078,(1.318.867.186),4.0,,3716375078.0,-1318867186.0
"Lãi từ thanh lý tài sản cố định, bất độngsản đầu tư và xây dựng cơ bản dở dang","Lãi từ thanh lý tài sản cố định, bất độngsản đầu tư và xây dựng cơ bản dở dang","Lãi từ thanh lý tài sản cố định, bất độngsản đầu tư và xây dựng cơ bản dở dang",05,,(23.733.472.800),(8.235.817.112),5.0,,-23733472800.0,-8235817112.0
Lãi do sáp nhập công ty con,Lãi do sáp nhập công ty con,Lãi do sáp nhập công ty con,05,VII.3,(430.894.168.467),-,5.0,,-430894168467.0,
Thu nhập lãi tiền gửi và cổ tức,Thu nhập lãi tiền gửi và cổ tức,Thu nhập lãi tiền gửi và cổ tức,05,,(816.164.715.469),(737.410.536.886),5.0,,-816164715469.0,-737410536886.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,06,VI.4,12.869.222.222,29.633.689.355,6.0,,12869222222.0,29633689355.0
Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,08,,12.216.463.091.614,11.195.331.060.120,8.0,,12216463091614.0,11195331060120.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,09,,(1.437.501.533.771),(160.447.236.353),9.0,,-1437501533771.0,-160447236353.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,10,,763.205.299.949,(641.911.165.310),10.0,,763205299949.0,-641911165310.0
Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,11,,1.272.472.244.120,491.914.423.870,11.0,,1272472244120.0,491914423870.0
Biến động chi phí trả trước,Biến động chi phí trả trước,Biến động chi phí trả trước,12,,(29.259.752.165),(13.380.568.323),12.0,,-29259752165.0,-13380568323.0
Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,,-,11.421.007.510,13.0,,,11421007510.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(33.925.611.111),(15.991.217.076),14.0,,-33925611111.0,-15991217076.0
Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,V.12,(1.872.584.222.416),(1.722.453.829.341),15.0,,-1872584222416.0,-1722453829341.0
Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(837.362.208.372),(873.366.606.379),17.0,,-837362208372.0,-873366606379.0
Lưu chuyển tiền thuần từ các hoạt độngkinh doanh,Lưu chuyển tiền thuần từ các hoạt độngkinh doanh,Lưu chuyển tiền thuần từ các hoạt độngkinh doanh,20,,10.041.507.307.848,8.271.115.868.718,20.0,,10041507307848.0,8271115868718.0
