row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một Thành viên Bò Sửa Việt Nam,Mối quan hệ > Công ty con,Loại giao dịch > Bán tài sản cố định Mua hàng hóa Góp vốn,2017 VND > 215.433.822 1.000.181.585.527 140.000.000.000,2016 VND > 9.925.996.933 573.317.479.621 440.780.000.000,numeric__Mối quan hệ > Công ty con,numeric__Loại giao dịch > Bán tài sản cố định Mua hàng hóa Góp vốn,numeric__2017 VND > 215.433.822 1.000.181.585.527 140.000.000.000,numeric__2016 VND > 9.925.996.933 573.317.479.621 440.780.000.000
Công ty TNHH Một Thành viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sửa Thống Nhất Thanh Hóa,Công ty con,Bán tài sản cố định Mua hàng hóa Góp vốn,48.225.106 5.387.089.729 456.682.699.703,- - 61.200.000.000,,,,
Công ty Cổ phần Đường Việt Nam,Công ty TNHH Một Thành viên Bò Sửa Thống Nhất Thanh Hóa > Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Mua cổ phần,1.328.381.061.273,-,,,1328381061273.0,
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Bán tài sản cố định Mua hàng hóa Mua cổ phần,758.666.818 13.771.676.190 246.417.487.058,- 13.164.080 -,,,,
Driftwood Dairy Holdings Corporation,Driftwood Dairy Holdings Corporation,Driftwood Dairy Holdings Corporation,Công ty con,Mua hàng hóa Mua cổ phần,- -,8.573.687.032 68.145.358.429,,,,
Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Công ty con,Mua hàng hóa Góp vốn,667.667.642.446 -,489.895.320.702 56.628.880.000,,,,
Miraka Limited,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia > Miraka Limited,Miraka Limited,Công ty liên kết,Mua hàng hóa,-,24.586.164.960,,,,24586164960.0
Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty liên kết,Mua hàng hóa Góp vốn,129.049.535.690 -,21.767.504.800 8.100.000.000,,,,
Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần APIS > Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty liên kết,Mua cổ phần,86.300.000.000,-,,,86300000000.0,
Thành viên Hội đồng Quản trị và Ban Điều hành,Công ty Cổ phần APIS > Thành viên Hội đồng Quản trị và Ban Điều hành,Thành viên Hội đồng Quản trị và Ban Điều hành,,Thù lao,123.523.671.767,91.004.863.749,,,123523671767.0,91004863749.0
