row_label_raw,row_label_full,col_0,Hoạt độngbốc dỡ containerVND,"Hoạt động chạy lạnh, kiểm dịch, lưu kho,lưu bãiVND",Hoạt động vậnchuyểnVND,KhácVND,Tổng cộngVND,numeric__Hoạt độngbốc dỡ containerVND,"numeric__Hoạt động chạy lạnh, kiểm dịch, lưu kho,lưu bãiVND",numeric__Hoạt động vậnchuyểnVND,numeric__KhácVND,numeric__Tổng cộngVND
Tổng thu nhập của bộ phận,Tổng thu nhập của bộ phận,Tổng thu nhập của bộ phận,1.340.175.286.046,368.565.738.715,359.937.587.038,719.234.089.041,2.787.912.700.840,1340175286046.0,368565738715.0,359937587038.0,719234089041.0,2787912700840.0
Tổng chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,(148.973.190.683),(40.969.576.625),(40.010.475.754),(79.949.688.827),(309.902.931.889),-148973190683.0,-40969576625.0,-40010475754.0,-79949688827.0,-309902931889.0
Tổng chi phí phân bổ ngoại trừ chi phíkhẩu hao TSCĐ và phân bổ chi phí tràtrước dài hạn,Tổng chi phí phân bổ ngoại trừ chi phíkhẩu hao TSCĐ và phân bổ chi phí tràtrước dài hạn,Tổng chi phí phân bổ ngoại trừ chi phíkhẩu hao TSCĐ và phân bổ chi phí tràtrước dài hạn,(946.972.849.018),(260.429.923.813),(254.333.239.700),(508.213.486.326),(1.969.949.498.857),-946972849018.0,-260429923813.0,-254333239700.0,-508213486326.0,-1969949498857.0
Tổng cộng,Tổng cộng,Tổng cộng,244.229.246.345,67.166.238.277,65.593.871.584,131.070.913.888,508.060.270.094,244229246345.0,67166238277.0,65593871584.0,131070913888.0,508060270094.0
Chi phí thuần về hoạt động tài chính,Chi phí thuần về hoạt động tài chính,Chi phí thuần về hoạt động tài chính,,,,,44.655.191.414,,,,,44655191414.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,3.316.909.852,,,,,3316909852.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(27.922.431.206),,,,,-27922431206.0
Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,,(3.532.098.092),,,,,-3532098092.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,,,,,(90.038.613.012),,,,,-90038613012.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,,,434.539.229.050,,,,,434539229050.0
Tổng chi phí đã phát sinh để mua TSCĐ,Tổng chi phí đã phát sinh để mua TSCĐ,Tổng chi phí đã phát sinh để mua TSCĐ,,,,,15.331.367.704,,,,,15331367704.0
