row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,10.057.566.852,10057566852.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.290.000.000,1290000000.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,37.481.609.179,37481609179.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,9.463.539.159,9463539159.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.271.423.871,2271423871.0
TSCĐ hữu hình (Thuyết minh 10(a)),Tài sản > TSCĐ hữu hình (Thuyết minh 10(a)),TSCĐ hữu hình (Thuyết minh 10(a)),897.447.034.155,897447034155.0
TSCĐ vô hình (Thuyết minh 10(b)),Tài sản > TSCĐ vô hình (Thuyết minh 10(b)),TSCĐ vô hình (Thuyết minh 10(b)),2.289.257.975.748,2289257975748.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,329.428.926,329428926.0
Tài sản dài hạn khác (Thuyết minh 9(b)),Tài sản > Tài sản dài hạn khác (Thuyết minh 9(b)),Tài sản dài hạn khác (Thuyết minh 9(b)),294.851.257.143,294851257143.0
,,,3.542.449.835.033,3542449835033.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,(145.314.450.761),-145314450761.0
Nợ dài hạn (*),Nợ phải trả > Nợ dài hạn (*),Nợ dài hạn (*),(512.337.000.000),-512337000000.0
,,,(657.651.450.761),-657651450761.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,2.884.798.384.272,2884798384272.0
Lợi thế thương mại (Thuyết minh 12),Nợ phải trả > Lợi thế thương mại (Thuyết minh 12),Lợi thế thương mại (Thuyết minh 12),467.194.073.731,467194073731.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,3.351.992.458.003,3351992458003.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,10.057.566.852,10057566852.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,3.341.934.891.151,3341934891151.0
