row_label_raw,row_label_full,col_0,col_1,31/12/2024VND,31/12/2023VND,numeric__col_1,numeric__31/12/2024VND,numeric__31/12/2023VND
,,,,Chi phí lương phải trả,31.355.606.919,,,31355606919.0
,,,,Chi phí thưởng phải trả,39.257.742.550,,,39257742550.0
,,,,,70.613.349.469,,,70613349469.0
16,16,16,CHI PHÍ PHÀI TRÀ,,,,,
(a),(a),(a),Ngắn hạn,,,,,
,,,,31/12/2024VND,31/12/2023VND,,,
,,,Chi phí thưởng năng suất cho nhân viên dự trả,29.707.931.388,37.618.458.497,,29707931388.0,37618458497.0
,,,Chi phí hoa hồng,8.330.428.540,7.763.454.399,,8330428540.0,7763454399.0
,,,Chi phí bồi thường,-,5.000.000.000,,,5000000000.0
,,,Chi phí lãi vay phải trả,33.060.492.638,5.793.967.601,,33060492638.0,5793967601.0
,,,Chi phí phải trả ngắn hạn khác,5.598.459.592,2.694.480.059,,5598459592.0,2694480059.0
,,,,76.697.312.158,58.870.360.556,,76697312158.0,58870360556.0
(b),(b),(b),Dài hạn,,,,,
,,,,31/12/2024VND,31/12/2023VND,,,
,,,Chi phí lãi vay phải trả,-,8.502.467.705,,,8502467705.0
17,17,17,PHÀI TRÀ NGÂN HẠN KHÁC,,,,,
,,,,31/12/2024VND,31/12/2023VND,,,
,,,"Ký quỹ, ký cược",4.645.546.603,801.354.019,,4645546603.0,801354019.0
,,,Kinh phí công đoàn và bảo hiểm bắt buộc,1.774.992.645,1.180.799.727,,1774992645.0,1180799727.0
,,,Khác,13.496.134.715,12.289.345.718,,13496134715.0,12289345718.0
,,,,19.916.673.963,14.271.499.464,,19916673963.0,14271499464.0
