row_label_raw,row_label_full,col_0,col_1,Tại ngày1/1/2024VND,Tăng do hợp nhất trong nămVND,Số phát sinh tăng trong kỳVND,Số thực nộp trong kỳVND,Cần trừ phải thu/phải trảVND,Phân loại lạiVND,Tại ngày31/12/2024VND,numeric__col_1,numeric__Tại ngày1/1/2024VND,numeric__Tăng do hợp nhất trong nămVND,numeric__Số phát sinh tăng trong kỳVND,numeric__Số thực nộp trong kỳVND,numeric__Cần trừ phải thu/phải trảVND,numeric__Phân loại lạiVND,numeric__Tại ngày31/12/2024VND
(a),(a),(a),Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,,,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,35.389.709.327,-,131.233.126.146,-,(130.983.192.432),-,35.639.643.041,,35389709327.0,,131233126146.0,,-130983192432.0,,35639643041.0
(b),(b),(b),Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,,,,,,,,
(b),(b) > (b),(b),Thuế thu nhập cá nhân,90.935.820,-,-,-,(25.190.810),159.100.581,224.845.591,,90935820.0,,,,-25190810.0,159100581.0,224845591.0
(b),(b) > (b),(b),Thuế TNDN,1.521.633.235,1.311.189.406,-,-,(260.384.490),-,2.572.438.151,,1521633235.0,1311189406.0,,,-260384490.0,,2572438151.0
(b),(b) > (b),(b),Thuế đất,-,-,-,-,-,117.159.414,117.159.414,,,,,,,117159414.0,117159414.0
(b),(b) > (b),(b),,1.612.569.055,1.311.189.406,-,-,(285.575.300),276.259.995,2.914.443.156,,1612569055.0,1311189406.0,,,-285575300.0,276259995.0,2914443156.0
(c),(c),(c),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,,,
(c),(c) > (c),(c),Thuế GTGT đầu ra,3.938.447.162,925.795.914,182.846.796.216,(52.489.526.319),(130.983.192.432),-,4.238.320.541,,3938447162.0,925795914.0,182846796216.0,-52489526319.0,-130983192432.0,,4238320541.0
(c),(c) > (c),(c),Thuế thu nhập cá nhân,3.383.952.071,33.768.064,20.350.063.212,(15.781.842.344),(25.190.810),159.100.581,8.119.850.774,,3383952071.0,33768064.0,20350063212.0,-15781842344.0,-25190810.0,159100581.0,8119850774.0
(c),(c) > (c),(c),Thuế TNDN,21.994.703.344,-,102.391.096.338,(89.415.043.357),(260.384.490),-,34.710.371.835,,21994703344.0,,102391096338.0,-89415043357.0,-260384490.0,,34710371835.0
(c),(c) > (c),(c),Thuế đất,-,-,9.130.609.317,(9.247.768.731),-,117.159.414,-,,,,9130609317.0,-9247768731.0,,117159414.0,
(c),(c) > (c),(c),Thuế và các khoản phải nộp Nhà nước khác,571.337,-,1.977.802.379,(1.977.802.379),-,-,571.337,,571337.0,,1977802379.0,-1977802379.0,,,571337.0
(c),(c) > (c),(c),,29.317.673.914,959.563.978,316.696.367.462,(168.911.983.130),(131.268.767.732),276.259.995,47.069.114.487,,29317673914.0,959563978.0,316696367462.0,-168911983130.0,-131268767732.0,276259995.0,47069114487.0
