row_label_raw,row_label_full,col_0,Công ty Cổ phầnCảng cạnQuảng Bình– Đình VũVND,Công ty TNHHCảng Nam HảiDình VũVND,Tổng cộngVND,numeric__Công ty Cổ phầnCảng cạnQuảng Bình– Đình VũVND,numeric__Công ty TNHHCảng Nam HảiDình VũVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,5.294.942.838,-,5.294.942.838,5294942838.0,,5294942838.0
Tăng do hợp nhất kinh doanh(Thuyết minh 3),Nguyên giá > Tăng do hợp nhất kinh doanh(Thuyết minh 3),Tăng do hợp nhất kinh doanh(Thuyết minh 3),-,467.194.073.731,467.194.073.731,,467194073731.0,467194073731.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,5.294.942.838,467.194.073.731,472.489.016.569,5294942838.0,467194073731.0,472489016569.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,(725.575.162),-,(725.575.162),-725575162.0,,-725575162.0
Phân bổ trong năm,Giá trị khấu hao lũy kế > Phân bổ trong năm,Phân bổ trong năm,(529.494.284),(21.189.676.568),(21.719.170.852),-529494284.0,-21189676568.0,-21719170852.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,(1.255.069.446),(21.189.676.568),(22.444.746.014),-1255069446.0,-21189676568.0,-22444746014.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,4.569.367.676,-,4.569.367.676,4569367676.0,,4569367676.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,4.039.873.392,446.004.397.163,450.044.270.555,4039873392.0,446004397163.0,450044270555.0
