row_label_raw,row_label_full,Hội đồng Quản trị,Ông Nguyễn Đức Dũng > Ông Bùi Minh Hưng,Chủ tịch(từ ngày 15/5/2024) > Thành viên(đến ngày 15/5/2024) > Chủ tịch(đến ngày 15/5/2024) > Thành viên(từ ngày 15/5/2024đến ngày 10/6/2024),numeric__Ông Nguyễn Đức Dũng > Ông Bùi Minh Hưng,numeric__Chủ tịch(từ ngày 15/5/2024) > Thành viên(đến ngày 15/5/2024) > Chủ tịch(đến ngày 15/5/2024) > Thành viên(từ ngày 15/5/2024đến ngày 10/6/2024)
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Tạ Công ThôngÔng Ninh Văn Hiến,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Tạ Công ThôngÔng Ninh Văn Hiến,Thành viên(từ ngày 10/6/2024),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Phan Tuấn Linh,Thành viên(từ ngày 10/6/2024),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Trần Thị Phương Anh,Thành viên(từ ngày 10/6/2024),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Văn Trần Hoàn,Thành viên(đến ngày 10/6/2024),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Cáp Trọng Cường,Thành viên(đến ngày 10/6/2024),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Nguyễn Đức ThànhÔng Trương Lý Thế Anh,Trường ban(từ ngày 10/6/2024),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Nguyễn Đức ThànhÔng Trương Lý Thế Anh,Trường ban(đến ngày 10/6/2024),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Ngô Thị Thùy LươngBà Nghiêm Thị Thùy Dương,Thành viên,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Ngô Thị Thùy LươngBà Nghiêm Thị Thùy Dương,Thành viên,,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Tạ Công Thông,Tổng Giám đốc(từ ngày 28/2/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Tạ Công Thông,Giám đốc Marketing(đến ngày 28/2/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Cáp Trọng Cường,Tổng Giám đốc(đến ngày 28/2/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Nguyễn Thế Trọng,Phó Tổng Giám đốc(từ ngày 20/6/2024đến ngày 1/1/2025),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Nguyễn Thế Trọng,Giám đốc Kỹ thuật(đến ngày 20/6/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Bà Trương Anh Thư,Phó Tổng Giám đốc(từ ngày 20/6/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Bà Trương Anh Thư,Giám đốc Tài chính(từ ngày 1/3/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Vũ Ngọc Lâm,Phó Tổng Giám đốc(từ ngày 20/6/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Phan Văn Hưng,Giám đốc Tài chính(đến ngày 1/3/2024),,
