row_label_raw,row_label_full,col_0,Hoạt độngbốc dỗ containerVND,"Hoạt động chạy lạnh, kiểm dịch, lưu kho,lưu bãiVND",Hoạt động vậnchuyểnVND,KhácVND,Tổng cộngVND,numeric__Hoạt độngbốc dỗ containerVND,"numeric__Hoạt động chạy lạnh, kiểm dịch, lưu kho,lưu bãiVND",numeric__Hoạt động vậnchuyểnVND,numeric__KhácVND,numeric__Tổng cộngVND
Tổng thu nhập của bộ phận,Tổng thu nhập của bộ phận,Tổng thu nhập của bộ phận,1.048.833.291.855,270.288.395.868,339.470.619.876,522.353.104.095,2.180.945.411.694,1048833291855.0,270288395868.0,339470619876.0,522353104095.0,2180945411694.0
Tổng chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,(115.384.844.575),(29.735.120.719),(37.346.034.891),(57.465.406.750),(239.931.406.935),-115384844575.0,-29735120719.0,-37346034891.0,-57465406750.0,-239931406935.0
Tổng chi phí phân bổ ngoại trừ chi phíkhẩu hao TSCĐ và phân bổ chi phí tràtrước dài hạn,Tổng chi phí phân bổ ngoại trừ chi phíkhẩu hao TSCĐ và phân bổ chi phí tràtrước dài hạn,Tổng chi phí phân bổ ngoại trừ chi phíkhẩu hao TSCĐ và phân bổ chi phí tràtrước dài hạn,(727.865.321.879),(187.573.708.602),(235.584.524.178),(362.500.612.061),(1.513.524.166.720),-727865321879.0,-187573708602.0,-235584524178.0,-362500612061.0,-1513524166720.0
Tổng cộng,Tổng cộng,Tổng cộng,205.583.125.401,52.979.566.547,66.540.060.807,102.387.085.284,427.489.838.039,205583125401.0,52979566547.0,66540060807.0,102387085284.0,427489838039.0
Chi phí thuần về hoạt động tài chính,Chi phí thuần về hoạt động tài chính,Chi phí thuần về hoạt động tài chính,,,,,(141.494.816.335),,,,,-141494816335.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,3.887.437.970,,,,,3887437970.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(6.791.896.532),,,,,-6791896532.0
Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,,(17.959.975.663),,,,,-17959975663.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,,,,,(66.108.561.559),,,,,-66108561559.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,,,199.022.025.920,,,,,199022025920.0
Tổng chi phí đã phát sinh để mua TSCĐ,Tổng chi phí đã phát sinh để mua TSCĐ,Tổng chi phí đã phát sinh để mua TSCĐ,,,,,5.376.972.837,,,,,5376972837.0
